Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,Pixel_9_Pro_XL
1,Google Pixel 9 Pro XL 512GB Hazel Unlocked Good Condition,$659.99,2025-10-14,https://www.ebay.com/itm/286555711022,https://i.ebayimg.com/images/g/pJwAAeSw2h5o5~h2/s-l500.webp,512 GB,Good,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL 256GB Porcelain Unlocked Very Good Condition,$619.99,2025-10-13,https://www.ebay.com/itm/297010821082,https://i.ebayimg.com/images/g/duwAAeSwiuNnrNdj/s-l500.webp,256 GB,Very Good,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL 512GB Obsidian Unlocked Excellent Condition,$795.99,2025-10-12,https://www.ebay.com/itm/296832874907,https://i.ebayimg.com/images/g/38wAAOSwMutm9Xu9/s-l500.webp,512 GB,Excellent,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL - Unlocked - Obsidian - 128GB - Very Good,$559.00,2025-10-11,https://www.ebay.com/itm/276964565757,https://i.ebayimg.com/images/g/aEUAAOSwA9ZnfCEn/s-l500.webp,128 GB,Very Good,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL 512GB Hazel Unlocked Very Good Condition,$699.99,2025-10-11,https://www.ebay.com/itm/286663677719,https://i.ebayimg.com/images/g/0EoAAeSwdeNo5~UN/s-l500.webp,512 GB,Very Good,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL 128GB Obsidian Unlocked Good Condition,$529.99,2025-10-11,https://www.ebay.com/itm/276745854905,https://i.ebayimg.com/images/g/m2EAAOSw9MxnF8pM/s-l500.webp,128 GB,Good,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL - 128 GB - Porcelain (Unlocked) GGX8B Good,$554.99,2025-10-10,https://www.ebay.com/itm/146842665747,https://i.ebayimg.com/images/g/AWQAAeSw6PJozY9q/s-l500.webp,128 GB,Good,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL - 128GB Hazel *UNLOCKED* [GGX8B] Excellent Refurbished,$640.99,2025-10-09,https://www.ebay.com/itm/146412571888,https://i.ebayimg.com/images/g/c9QAAOSwwYdnvOqS/s-l500.webp,128 GB,Excellent,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL 128GB Obsidian Unlocked Excellent Condition,$599.99,2025-10-09,https://www.ebay.com/itm/276676304387,https://i.ebayimg.com/images/g/jkQAAOSw6MVnBXzL/s-l500.webp,128 GB,Excellent,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL (6.8-in) Smartphone (GGX8B) Unlocked - 128GB/Obsidian,$699.99,2025-10-07,https://www.ebay.com/itm/146824723904,https://i.ebayimg.com/images/g/UpkAAeSwIgVo8Q9k/s-l500.webp,128 GB,Unknown,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL - 128GB Obsidian *UNLOCKED* [GGX8B] Excellent Refurbished,$585.99,2025-10-06,https://www.ebay.com/itm/146506950333,https://i.ebayimg.com/images/g/PC8AAOSwYqFn9rTe/s-l500.webp,128 GB,Excellent,False,Pixel 9 Pro XL,True
1,Google Pixel 9 PRO XL 128GB 5G FACTORY OEM UNLOCKED Smartphone - EXCELLENT,$674.00,2025-03-27,https://www.ebay.com/itm/226585350756,https://i.ebayimg.com/images/g/1uAAAOSwy5hnpP-R/s-l500.webp,128 GB,Unknown,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL 128GB Porcelain Unlocked Good Condition,$539.99,2025-10-05,https://www.ebay.com/itm/297469447365,https://i.ebayimg.com/images/g/7mAAAeSwdeNo3qsF/s-l500.webp,128 GB,Good,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL - 512 GB - Obsidian Black UNLOCKED - Very Good + More,$679.99,2025-10-04,https://www.ebay.com/itm/205742185987,https://i.ebayimg.com/images/g/6f4AAeSwABJoim1z/s-l500.webp,512 GB,Very Good,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL - 512GB Hazel *UNLOCKED* [GGX8B] Excellent Refurbished,$759.00,2025-04-04,https://www.ebay.com/itm/146495990182,https://i.ebayimg.com/images/g/c9QAAOSwwYdnvOqS/s-l500.webp,512 GB,Excellent,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL 128GB Hazel Unlocked Good Condition,$529.99,2025-10-03,https://www.ebay.com/itm/286836394263,https://i.ebayimg.com/images/g/oN8AAeSw1AVo-QTH/s-l500.webp,128 GB,Good,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL 256GB Rose Quartz Unlocked Excellent Condition,$699.99,2025-10-03,https://www.ebay.com/itm/277154887187,https://i.ebayimg.com/images/g/WxkAAeSwD85n0wjx/s-l500.webp,256 GB,Excellent,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL 128GB (Unlocked) Obsidian Excellent,$699.95,2025-02-23,https://www.ebay.com/itm/335707945354,https://i.ebayimg.com/images/g/MEMAAOSwVW1nTj-O/s-l500.webp,128 GB,Excellent,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL - 1 TB - Obsidian (Unlocked),$899.00,2025-10-02,https://www.ebay.com/itm/127392242632,https://i.ebayimg.com/images/g/w8wAAeSwbVho1DJg/s-l500.webp,Unknown,Unknown,False,Pixel 9 Pro XL,True
1,"Google Pixel 9 Pro XL Unlocked 256GB 6.8"" 5G Dual SIM Obsidian Black GA05904-US",$694.99,2025-09-19,https://www.ebay.com/itm/196982828950,https://i.ebayimg.com/images/g/qwYAAOSwBB9nI79a/s-l500.webp,256 GB,Unknown,False,Pixel 9 Pro XL,True
1,"Google Pixel 9 Pro XL 5G (256GB, 16GB) 6.8"" Fully Unlocked (US Model) GGX8B",$734.99,2025-03-23,https://www.ebay.com/itm/146146149323,https://i.ebayimg.com/images/g/yywAAOSwYAhnm-1e/s-l500.webp,256 GB,Unknown,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL 256GB Hazel Unlocked Excellent Condition,$699.99,2025-09-30,https://www.ebay.com/itm/286150596861,https://i.ebayimg.com/images/g/p5sAAOSwJLFnLQGN/s-l500.webp,256 GB,Excellent,False,Pixel 9 Pro XL,True
1,"Google Pixel 9 Pro XL 5G 6.8""  Fully Unlocked (Any Carrier) SmartPhone Very Good",$618.99,2025-09-30,https://www.ebay.com/itm/205339147411,https://i.ebayimg.com/images/g/Tq0AAOSwRYxnfg5O/s-l500.webp,Unknown,Very Good,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL - 256GB -Obsidian- (Carrier Unlocked),$709.98,2025-09-29,https://www.ebay.com/itm/156551522473,https://i.ebayimg.com/images/g/3YYAAOSwxFpnJTRz/s-l500.webp,256 GB,Unknown,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL 128GB Hazel Unlocked Excellent Condition,$549.99,2025-09-29,https://www.ebay.com/itm/286090264079,https://i.ebayimg.com/images/g/8CAAAOSwbWpm~qbM/s-l500.webp,128 GB,Excellent,False,Pixel 9 Pro XL,True
