Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,Pixel_6_Pro
1,Google Pixel 6 Pro 256GB Unlocked - Excellent,$224.99,2025-09-28,https://www.ebay.com/itm/255989631198,https://i.ebayimg.com/images/g/CksAAeSwqfVoseVp/s-l500.webp,256 GB,Excellent,False,Pixel 6 Pro,True
1,Google Pixel 6 Pro G8V0U 256GB Verizon/Unlocked Smartphone - Good,$194.73,2025-03-05,https://www.ebay.com/itm/267173962141,https://i.ebayimg.com/images/g/IL4AAOSwKsljZUHW/s-l500.webp,256 GB,Good,False,Pixel 6 Pro,True
1,Google Pixel 6 Pro 128GB Black Unlocked Very Good Condition,$209.99,2025-09-28,https://www.ebay.com/itm/294573580067,https://i.ebayimg.com/images/g/E0wAAOSwiuRlOsBN/s-l500.webp,128 GB,Very Good,False,Pixel 6 Pro,True
1,"Google Pixel 6 Pro 128GB Unlocked GA03149-US 6.7"" 50MP NFC 5G LTE Stormy Black",$169.99,2025-09-27,https://www.ebay.com/itm/204461006515,https://i.ebayimg.com/images/g/2p0AAOSwW5Jh-scq/s-l500.webp,128 GB,Unknown,False,Pixel 6 Pro,True
1,Google Pixel 6 Pro - 128GB - Stormy Black (Unlocked) - Good Condition,$179.99,2025-03-03,https://www.ebay.com/itm/306144867516,https://i.ebayimg.com/images/g/p5YAAOSw3mBnvZ4S/s-l500.webp,128 GB,Good,False,Pixel 6 Pro,True
1,Google Pixel 6 Pro G8V0U Unlocked 256GB Cloudy White Very Good,$159.99,2025-09-22,https://www.ebay.com/itm/197702918389,https://i.ebayimg.com/images/g/KtQAAeSwqK1oya5A/s-l500.webp,256 GB,Very Good,False,Pixel 6 Pro,True
1,"Google Pixel 6 Pro 128GB Unlocked GA03150-US 6.7"" 50MP NFC 5G LTE Cloudy White",$194.99,2025-09-22,https://www.ebay.com/itm/197701920227,https://i.ebayimg.com/images/g/tNwAAOSwLytiWCkh/s-l500.webp,128 GB,Unknown,False,Pixel 6 Pro,True
1,Google Pixel 6 Pro 5G G8V0U Unlocked 128GB 256GB 512GB Very Good,$206.99,2025-09-19,https://www.ebay.com/itm/355565697405,https://i.ebayimg.com/images/g/0AAAAOSwDcpl-dBX/s-l500.webp,128 GB,Very Good,False,Pixel 6 Pro,True
1,Google Pixel 6 Pro - 256GB - Stormy Black - Factory Unlocked - Very Good + More,$209.99,2025-09-12,https://www.ebay.com/itm/205716910420,https://i.ebayimg.com/images/g/hJQAAOSwKoZn-XNc/s-l500.webp,256 GB,Very Good,False,Pixel 6 Pro,True
1,Google Pixel 6 Pro 512GB (Unlocked) - Stormy Black,$219.95,2025-09-17,https://www.ebay.com/itm/316960507895,https://i.ebayimg.com/images/g/5o8AAeSwGIlozVCp/s-l500.webp,512 GB,Unknown,False,Pixel 6 Pro,True
