Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,Pixel_10_Pro
1,Google Pixel 10 Pro XL 256GB Unlocked Very Good Condition,$859.99,2025-10-22,https://www.ebay.com/itm/357569770144,https://i.ebayimg.com/images/g/clMAAeSw4W9ouc3f/s-l500.webp,256 GB,Very Good,False,Pixel 10 Pro,True
1,"Google Pixel 10 Pro XL Unlocked 256GB 6.8"" 5G Dual SIM Obsidian Black GA09602-US",$849.99,2025-10-16,https://www.ebay.com/itm/326812942934,https://i.ebayimg.com/images/g/SnMAAeSwV0Zo6jMG/s-l500.webp,256 GB,Unknown,False,Pixel 10 Pro,True
1,Google Pixel 10 Pro XL - 256 GB - Jade (Unlocked) GUL82 Good,$819.95,2025-10-15,https://www.ebay.com/itm/127403978863,https://i.ebayimg.com/images/g/D8UAAeSwcGJo27YN/s-l500.webp,256 GB,Good,False,Pixel 10 Pro,True
1,"Google Pixel 10 Pro, 128GB Unlocked Very Good Condition",$729.99,2025-10-17,https://www.ebay.com/itm/357569690400,https://i.ebayimg.com/images/g/OWYAAeSwgLxouckc/s-l500.webp,128 GB,Very Good,False,Pixel 10 Pro,True
1,Google Pixel 10 Pro - 256GB - Obsidian (Unlocked) G4QUR Excellent,$814.95,2025-10-05,https://www.ebay.com/itm/146835964730,https://i.ebayimg.com/images/g/15wAAeSw1EJoyX3y/s-l500.webp,256 GB,Excellent,False,Pixel 10 Pro,True
