Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,iPhone_16
1,Apple iPhone 16 256GB ( Unlocked) US E-Sim Version. Excellent,$653.99,2025-10-22,https://www.ebay.com/itm/156663286699,https://i.ebayimg.com/images/g/tBIAAOSwm8Jnm4-w/s-l500.webp,256 GB,Excellent,False,iPhone 16,True
1,Apple iPhone 16 512GB Factory Unlocked AT&T T-Mobile Verizon Excellent Condition,$713.95,2025-10-22,https://www.ebay.com/itm/306008182186,https://i.ebayimg.com/images/g/bGoAAOSwGmRncs2B/s-l500.webp,512 GB,Excellent,False,iPhone 16,True
1,Apple iPhone 16 128GB Unlocked Very Good Condition,$594.67,2025-10-22,https://www.ebay.com/itm/356605678205,https://i.ebayimg.com/images/g/3bwAAeSwgUtnvQT6/s-l500.webp,128 GB,Very Good,False,iPhone 16,True
1,Apple iPhone 16 128GB ( Unlocked) US E-Sim Version. Excellent,$597.99,2025-10-22,https://www.ebay.com/itm/156837106817,https://i.ebayimg.com/images/g/tBIAAOSwm8Jnm4-w/s-l500.webp,128 GB,Excellent,False,iPhone 16,True
1,Apple iPhone 16 256GB Factory Unlocked AT&T T-Mobile Verizon Excellent Condition,$667.95,2025-10-22,https://www.ebay.com/itm/305910464390,https://i.ebayimg.com/images/g/05cAAOSwSc5nN2Qv/s-l500.webp,256 GB,Excellent,False,iPhone 16,True
1,Apple iPhone 16 A3081 256GB Unlocked Very Good Condition,$652.99,2025-10-22,https://www.ebay.com/itm/357482099337,https://i.ebayimg.com/images/g/wsQAAeSwihFo4-BF/s-l500.webp,256 GB,Very Good,False,iPhone 16,True
1,Apple iPhone 16 128GB Factory Unlocked AT&T T-Mobile Verizon Excellent Condition,$582.95,2025-10-22,https://www.ebay.com/itm/296875370517,https://i.ebayimg.com/images/g/fs4AAOSwAsNnWjtK/s-l500.webp,128 GB,Excellent,False,iPhone 16,True
1,Apple iPhone 16 256GB Factory Unlocked AT&T T-Mobile Verizon Very Good Condition,$615.95,2025-10-22,https://www.ebay.com/itm/296819057702,https://i.ebayimg.com/images/g/v8QAAOSwufdnN3K4/s-l500.webp,256 GB,Very Good,False,iPhone 16,True
1,Apple iPhone 16 256GB Unlocked Very Good Condition - All Colors,$629.99,2025-10-22,https://www.ebay.com/itm/286384884076,https://i.ebayimg.com/images/g/LvAAAeSw52JnyHtL/s-l500.webp,256 GB,Very Good,False,iPhone 16,True
1,Apple iPhone 16 128GB Factory Unlocked AT&T T-Mobile Verizon Very Good Condition,$558.95,2025-10-22,https://www.ebay.com/itm/306030279890,https://i.ebayimg.com/images/g/yzwAAOSw6idngBtL/s-l500.webp,128 GB,Very Good,False,iPhone 16,True
