Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,iPhone_13_Pro
1,Apple iPhone 13 Pro - 128 GB - Sierra Blue - Unlocked - Excellent Condition,$388.55,2025-10-22,https://www.ebay.com/itm/335906202569,https://i.ebayimg.com/images/g/pwsAAOSwytdntE3G/s-l500.webp,128 GB,Excellent,False,iPhone 13 Pro,True
1,Apple iPhone 13 Pro Green 128GB Good - Refurbished  - Unlocked,$358.99,2025-10-22,https://www.ebay.com/itm/127195098292,https://i.ebayimg.com/images/g/EowAAeSwnDFo-U14/s-l140.webp,128 GB,Good,False,iPhone 13 Pro,True
1,Apple iPhone 13 Pro 512GB Fully Unlocked - Good,$382.99,2025-10-22,https://www.ebay.com/itm/326765045139,https://i.ebayimg.com/images/g/UWkAAOSwS39oERUk/s-l140.webp,512 GB,Good,False,iPhone 13 Pro,True
1,Apple iPhone 13 Pro Silver 128GB Excellent - Refurbished  - Unlocked,$398.99,2025-09-02,https://www.ebay.com/itm/127198528466,https://i.ebayimg.com/images/g/KsAAAeSwJDFo94Rp/s-l140.webp,128 GB,Excellent,False,iPhone 13 Pro,True
1,Apple iPhone 13 Pro 128GB Unlocked Very Good Condition - All Colors,$379.99,2025-10-22,https://www.ebay.com/itm/276216331323,https://i.ebayimg.com/images/g/VoYAAOSw4zxmjZsa/s-l140.webp,128 GB,Very Good,False,iPhone 13 Pro,True
1,Apple iPhone 13 Pro 128GB Unlocked - Excellent,$379.95,2025-10-22,https://www.ebay.com/itm/403999454004,https://i.ebayimg.com/images/g/V7EAAOSwbhFjLLxB/s-l140.webp,128 GB,Excellent,False,iPhone 13 Pro,True
1,Apple iPhone 13 Pro Blue 128GB Very Good - Refurbished  - Unlocked,$378.99,2025-10-22,https://www.ebay.com/itm/127244140767,https://i.ebayimg.com/images/g/4LcAAeSwX~Vo-XUg/s-l140.webp,128 GB,Very Good,False,iPhone 13 Pro,True
1,Apple iPhone 13 Pro Graphite 128GB Good - Refurbished  - Unlocked,$358.99,2025-10-22,https://www.ebay.com/itm/127187183135,https://i.ebayimg.com/images/g/bEcAAeSwH0po-XC9/s-l140.webp,128 GB,Good,False,iPhone 13 Pro,True
1,Apple iPhone 13 Pro Graphite 256GB Very Good - Refurbished  - Unlocked,$407.99,2025-10-22,https://www.ebay.com/itm/127187290670,https://i.ebayimg.com/images/g/qC4AAeSwTKdo-Wxr/s-l140.webp,256 GB,Very Good,False,iPhone 13 Pro,True
1,Apple iPhone 13 Pro 128GB - Fully Unlocked  - EXCELLENT Condition,$396.99,2025-10-22,https://www.ebay.com/itm/325894402221,https://i.ebayimg.com/images/g/d0gAAOSwHZhlW73q/s-l140.webp,128 GB,Unknown,False,iPhone 13 Pro,True
1,"Apple iPhone 13 Pro, 128-256-512GB-1TB Unlocked- Refurbished Excellent",$404.99,2025-10-22,https://www.ebay.com/itm/326721900007,https://i.ebayimg.com/images/g/vnMAAOSwaMZkCeUu/s-l140.webp,512 GB,Excellent,False,iPhone 13 Pro,True
