Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,iPhone_14_Pro
1,Apple iPhone 14 Pro Silver 256GB Excellent - Refurbished  - Unlocked,$494.99,2025-10-22,https://www.ebay.com/itm/127324783614,https://i.ebayimg.com/images/g/shgAAeSweWlo-YsK/s-l140.webp,256 GB,Excellent,False,iPhone 14 Pro,True
1,Apple iPhone 14 Pro A2650 (Unlocked) 256GB Space Black (Excellent),$448.99,2025-10-22,https://www.ebay.com/itm/286887641602,https://i.ebayimg.com/images/g/w2cAAeSw79Jo9cZe/s-l140.webp,256 GB,Excellent,False,iPhone 14 Pro,True
1,Apple iPhone 14 Pro A2650 128GB Network Unlocked Very Good Condition,$409.99,2025-10-22,https://www.ebay.com/itm/354954088639,https://i.ebayimg.com/images/g/GLgAAOSwG6JkyZ3Q/s-l140.webp,128 GB,Very Good,False,iPhone 14 Pro,True
1,Apple iPhone 14 Pro 256GB Unlocked AT&T T-Mobile Verizon Very Good Condition,$447.95,2025-10-22,https://www.ebay.com/itm/304844638896,https://i.ebayimg.com/images/g/jGUAAOSwA7hlEa~p/s-l140.webp,256 GB,Very Good,False,iPhone 14 Pro,True
1,Apple iPhone 14 Pro A2650 Unlocked 128GB Silver Very Good,$484.99,2024-08-11,https://www.ebay.com/itm/186584826324,https://i.ebayimg.com/images/g/rloAAOSwt1Rmnwun/s-l140.webp,128 GB,Very Good,False,iPhone 14 Pro,True
1,Apple iPhone 14 Pro - 128GB 256GB 512GB 1TB - All Colors - Very Good Condition,$447.00,2025-10-22,https://www.ebay.com/itm/276438533833,https://i.ebayimg.com/images/g/jvcAAOSwpCBmKX9K/s-l140.webp,128 GB,Very Good,False,iPhone 14 Pro,True
1,Apple iPhone 14 Pro A2650 256GB Unlocked Very Good Condition,$453.09,2025-10-22,https://www.ebay.com/itm/355896536737,https://i.ebayimg.com/images/g/QBUAAOSw35RnNoNG/s-l140.webp,256 GB,Very Good,False,iPhone 14 Pro,True
1,Apple iPhone 14 Pro A2650 (Fully Unlocked) 128GB Deep Purple (Excellent),$424.99,2025-10-22,https://www.ebay.com/itm/286883274280,https://i.ebayimg.com/images/g/uroAAeSwHdho8qwh/s-l140.webp,128 GB,Excellent,False,iPhone 14 Pro,True
1,Apple iPhone 14 Pro/14 Pro Max - 128GB/256GB/512GB/1TB - Unlocked - Very Good,$449.00,2025-10-22,https://www.ebay.com/itm/335778554715,https://i.ebayimg.com/images/g/H7gAAOSwKSdnuDYE/s-l140.webp,128 GB,Very Good,False,iPhone 14 Pro,True
1,Apple iPhone 14 Pro 128/256/512GB/1TB - Unlocked - Refurbished Excellent,$469.99,2025-10-22,https://www.ebay.com/itm/326721875290,https://i.ebayimg.com/images/g/U1wAAOSwrA5kAnGD/s-l140.webp,512 GB,Excellent,False,iPhone 14 Pro,True
1,Apple iPhone 14 Pro - 1 TB - Deep Purple (Unlocked) Good Condition,$499.99,2025-10-22,https://www.ebay.com/itm/286715303236,https://i.ebayimg.com/images/g/6XoAAeSwu0Boem~J/s-l140.webp,Unknown,Good,False,iPhone 14 Pro,True
1,Apple iPhone 14 Pro 1TB Unlocked AT&T T-Mobile Verizon Excellent Condition,$539.95,2025-10-22,https://www.ebay.com/itm/296011042029,https://i.ebayimg.com/images/g/MPwAAOSwwlplPByS/s-l140.webp,Unknown,Excellent,False,iPhone 14 Pro,True
1,"Apple iPhone 14 Pro 128GB Unlocked 6.1"" - (Deep Purple) A2650 w/1 Year Warranty",$417.00,2025-10-22,https://www.ebay.com/itm/357637800733,https://i.ebayimg.com/images/g/cV4AAeSwSyJozIDo/s-l140.webp,128 GB,Unknown,False,iPhone 14 Pro,True
1,Apple iPhone 14 Pro 512GB Fully Unlocked - Excellent,$515.99,2025-10-22,https://www.ebay.com/itm/326649259659,https://i.ebayimg.com/images/g/mxoAAOSw-lpoVICo/s-l140.webp,512 GB,Excellent,False,iPhone 14 Pro,True
1,Apple iPhone 14 Pro Black 128GB Very Good - Refurbished  - Unlocked,$438.99,2025-10-22,https://www.ebay.com/itm/127392504416,https://i.ebayimg.com/images/g/9VoAAeSwcsho-VrY/s-l140.webp,128 GB,Very Good,False,iPhone 14 Pro,True
1,Apple iPhone 14 Pro - 256 GB - Deep Purple (Unlocked) Good Condition,$434.99,2025-10-22,https://www.ebay.com/itm/286715298460,https://i.ebayimg.com/images/g/zuoAAeSw5pxoem8o/s-l140.webp,256 GB,Good,False,iPhone 14 Pro,True
1,Apple iPhone 14 Pro - 256 GB - Gold (Unlocked) Good Condition,$434.99,2025-10-22,https://www.ebay.com/itm/286774253113,https://i.ebayimg.com/images/g/LqIAAeSwt6RopOpB/s-l140.webp,256 GB,Good,False,iPhone 14 Pro,True
1,Apple iPhone 14 Pro Black 256GB Very Good - Refurbished  - Unlocked,$474.99,2025-10-22,https://www.ebay.com/itm/127392504379,https://i.ebayimg.com/images/g/zBMAAeSw2slo-VTL/s-l140.webp,256 GB,Very Good,False,iPhone 14 Pro,True
