Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,iPhone_16_Pro
1,Apple iPhone 16 Pro 128GB Unlocked AT&T T-Mobile Verizon Very Good Condition,$694.95,2025-10-21,https://www.ebay.com/itm/306008182029,https://i.ebayimg.com/images/g/1xAAAOSw76xncs2~/s-l140.webp,128 GB,Very Good,False,iPhone 16 Pro,True
1,Apple iPhone 16 Pro 1TB Unlocked AT&T T-Mobile Verizon Very Good Condition,$882.95,2025-10-21,https://www.ebay.com/itm/305888203348,https://i.ebayimg.com/images/g/EtcAAOSwQI1nNhl~/s-l140.webp,Unknown,Very Good,False,iPhone 16 Pro,True
1,"Apple iPhone 16 Pro UNLOCKED - 256GB, 512GB E-sim - Excellent Condition",$780.00,2025-10-21,https://www.ebay.com/itm/167510020614,https://i.ebayimg.com/images/g/9qMAAOSwYQtoImta/s-l140.webp,256 GB,Excellent,False,iPhone 16 Pro,True
1,Apple iPhone 16 Pro 256GB Unlocked Very Good Condition,$729.00,2025-10-20,https://www.ebay.com/itm/227006247588,https://i.ebayimg.com/images/g/m6EAAeSwSwVoi5ya/s-l140.webp,256 GB,Very Good,False,iPhone 16 Pro,True
1,Apple iPhone 16 Pro 128GB Factory Unlocked AT&T T-Mobile Verizon Good Condition,$685.95,2025-10-20,https://www.ebay.com/itm/296993628795,https://i.ebayimg.com/images/g/VN0AAOSwZjBnpk~w/s-l140.webp,128 GB,Good,False,iPhone 16 Pro,True
1,Apple iPhone 16 Pro - Unlocked - Desert Titanium - 128GB - Excellent,$729.00,2025-10-19,https://www.ebay.com/itm/276836684190,https://i.ebayimg.com/images/g/I-4AAOSwmcJnLmuU/s-l140.webp,128 GB,Excellent,False,iPhone 16 Pro,True
1,Apple iPhone 16 Pro 256GB Unlocked eSim Only Black Titanium A3083 Good,$709.99,2025-10-19,https://www.ebay.com/itm/146869125906,https://i.ebayimg.com/images/g/zPQAAeSwAjJojQpg/s-l140.webp,256 GB,Good,False,iPhone 16 Pro,True
1,Apple iPhone 16 Pro 256GB Unlocked Excellent Condition - All Colors,$799.99,2025-10-19,https://www.ebay.com/itm/276773332262,https://i.ebayimg.com/images/g/ovkAAOSwoWpnVx2z/s-l140.webp,256 GB,Excellent,False,iPhone 16 Pro,True
1,Apple iPhone 16 Pro 256GB Unlocked eSim Only Black Titanium A3083 Excellent,$769.95,2025-10-18,https://www.ebay.com/itm/405522187903,https://i.ebayimg.com/images/g/4CcAAOSwJ-xnovFP/s-l140.webp,256 GB,Excellent,False,iPhone 16 Pro,True
1,"Apple iPhone 16 Pro 512GB Unlocked 6.3"" - (Black Titanium) A3083 w/Year Warranty",$787.05,2025-10-17,https://www.ebay.com/itm/376624871614,https://i.ebayimg.com/images/g/N3kAAeSwgEBo7~vj/s-l140.webp,512 GB,Unknown,False,iPhone 16 Pro,True
