Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,iPhone_15_Pro_Max
1,Apple iPhone 15 Pro Max 1TB Unlocked AT&T T-Mobile Verizon Excellent Condition,$754.95,2025-10-22,https://www.ebay.com/itm/296153652189,https://i.ebayimg.com/images/g/gyQAAOSwg2NlnBkF/s-l500.webp,Unknown,Excellent,False,iPhone 15 Pro Max,True
1,Apple iPhone 15 Pro Max A2849 512GB Unlocked Very Good Condition,$652.99,2025-10-22,https://www.ebay.com/itm/357482464547,https://i.ebayimg.com/images/g/nrcAAeSwO~No4-Fe/s-l500.webp,512 GB,Very Good,False,iPhone 15 Pro Max,True
1,Apple iPhone 15 Pro Max A2849 256GB Unlocked Excellent Condition,$691.99,2025-10-22,https://www.ebay.com/itm/356895100574,https://i.ebayimg.com/images/g/5p8AAeSwZHVou3Tt/s-l500.webp,256 GB,Excellent,False,iPhone 15 Pro Max,True
1,Apple iPhone 15 Pro Max A2849 256GB Unlocked Very Good,$624.99,2025-10-22,https://www.ebay.com/itm/356227859677,https://i.ebayimg.com/images/g/YX8AAOSwuilm4fHk/s-l500.webp,256 GB,Very Good,False,iPhone 15 Pro Max,True
1,Apple iPhone 15 Pro Max - 256 GB 512 GB - Unlocked - 90%+ Battery Excellent,$702.05,2025-10-22,https://www.ebay.com/itm/336179330092,https://i.ebayimg.com/images/g/z~AAAeSwMOxox8nz/s-l500.webp,256 GB,Excellent,False,iPhone 15 Pro Max,True
1,Apple iPhone 15 Pro Max A2849 512GB Unlocked Excellent Condition,$727.99,2025-10-22,https://www.ebay.com/itm/357482540114,https://i.ebayimg.com/images/g/vU4AAeSw2JpowxCV/s-l500.webp,512 GB,Excellent,False,iPhone 15 Pro Max,True
1,Apple iPhone 15 Pro Max A2849 1TB Natural Unlocked Very Good Condition,$757.22,2025-10-22,https://www.ebay.com/itm/357492955429,https://i.ebayimg.com/images/g/v90AAeSw9TJowxBy/s-l500.webp,Unknown,Very Good,False,iPhone 15 Pro Max,True
1,Apple iPhone 15 Pro Max 1TB Unlocked AT&T T-Mobile Verizon Very Good Condition,$686.95,2025-10-22,https://www.ebay.com/itm/305340357295,https://i.ebayimg.com/images/g/9wcAAOSw0zlllx~9/s-l500.webp,Unknown,Very Good,False,iPhone 15 Pro Max,True
1,Apple iPhone 15 Pro Max 256GB Unlocked AT&T T-Mobile Verizon Very Good Condition,$652.95,2025-10-22,https://www.ebay.com/itm/305358724241,https://i.ebayimg.com/images/g/LGsAAOSwRQBlp-is/s-l500.webp,256 GB,Very Good,False,iPhone 15 Pro Max,True
1,Apple iPhone 15 Pro Max - 256GB 512GB 1TB - All Colors - Excellent Condition,$714.00,2025-10-22,https://www.ebay.com/itm/285827517638,https://i.ebayimg.com/images/g/mhgAAOSwJ11mKC80/s-l500.webp,256 GB,Excellent,False,iPhone 15 Pro Max,True
1,Apple iPhone 15 Pro Max 256GB Unlocked Good Condition - All Colors,$659.99,2025-10-22,https://www.ebay.com/itm/276217995756,https://i.ebayimg.com/images/g/~hYAAOSwiMJlc1PB/s-l500.webp,256 GB,Good,False,iPhone 15 Pro Max,True
1,Apple iPhone 15 Pro Max 512GB Unlocked AT&T T-Mobile Verizon Excellent Condition,$713.95,2025-10-22,https://www.ebay.com/itm/296146566883,https://i.ebayimg.com/images/g/QpQAAOSwV-pllyAJ/s-l500.webp,512 GB,Excellent,False,iPhone 15 Pro Max,True
