Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,iPhone_15_Pro
1,"Apple iPhone 15 Pro, 128GB, - Unlocked - White - Excellent",$580.00,2025-10-20,https://www.ebay.com/itm/406269876618,https://i.ebayimg.com/images/g/WgMAAeSwucpo5VlV/s-l500.webp,128 GB,Excellent,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro - 256GB - White Titanium (Unlocked) - 90%+ Battery Excellent,$639.00,2025-10-20,https://www.ebay.com/itm/336008377080,https://i.ebayimg.com/images/g/apAAAOSw-S1oSVY8/s-l500.webp,256 GB,Excellent,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro 512GB Factory Unlocked AT&T T-Mobile Verizon Good Condition,$595.95,2025-10-20,https://www.ebay.com/itm/305337184045,https://i.ebayimg.com/images/g/wcoAAOSwa-JllB0i/s-l500.webp,512 GB,Good,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro 128GB (Unlocked) US E-Sim Version. Excellent,$606.99,2025-10-20,https://www.ebay.com/itm/156078647276,https://i.ebayimg.com/images/g/b8QAAOSwsndl2OuI/s-l500.webp,128 GB,Excellent,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro 256GB Unlocked Excellent Condition - All Colors,$669.99,2025-10-20,https://www.ebay.com/itm/276217987968,https://i.ebayimg.com/images/g/qxYAAOSw5xJlc1Mq/s-l500.webp,256 GB,Excellent,False,iPhone 15 Pro,True
1,"Apple iPhone 15 Pro, 128GB, - Unlocked - Natural - Excellent",$590.00,2025-10-20,https://www.ebay.com/itm/406269876616,https://i.ebayimg.com/images/g/ybsAAeSwl~Fo5VmR/s-l500.webp,128 GB,Excellent,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro 256GB Unlocked AT&T T-Mobile Verizon Excellent Condition,$629.95,2025-10-19,https://www.ebay.com/itm/305315521632,https://i.ebayimg.com/images/g/isYAAOSwStdlfGAu/s-l500.webp,256 GB,Excellent,False,iPhone 15 Pro,True
1,"iPhone 15 Pro (128GB, 8GB) 6.1"", iOS 17, 5G / 4G LTE Fully Unlocked for Global",$583.52,2025-07-16,https://www.ebay.com/itm/156368924274,https://i.ebayimg.com/images/g/DU8AAeSwOUJoUbW9/s-l500.webp,128 GB,Unknown,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro A2848 Unlocked 256GB Natural Titanium Excellent,$674.99,2025-03-16,https://www.ebay.com/itm/196830558960,https://i.ebayimg.com/images/g/0xsAAOSwrI1nPUZb/s-l500.webp,256 GB,Excellent,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro 128GB Unlocked Good Condition - All Colors,$549.99,2025-10-19,https://www.ebay.com/itm/296097783155,https://i.ebayimg.com/images/g/aWoAAOSwBbBlc1KW/s-l500.webp,128 GB,Good,False,iPhone 15 Pro,True
1,"Apple iPhone 15 Pro 6.1"" Unlocked 256GB - (White Titanium) A2848 w/Warranty",$595.71,2025-10-18,https://www.ebay.com/itm/146535764308,https://i.ebayimg.com/images/g/0EIAAOSwbrJoBpuM/s-l500.webp,256 GB,Unknown,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro - 128GB - White Titanium (Unlocked) - 90%+ Battery Excellent,$748.75,2025-10-18,https://www.ebay.com/itm/336221979269,https://i.ebayimg.com/images/g/0o8AAeSwcmdo5gJR/s-l500.webp,128 GB,Excellent,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro Fully Unlocked 128GB - 6.1inches - Very Good,$654.00,2025-10-17,https://www.ebay.com/itm/135726798882,https://i.ebayimg.com/images/g/ZEcAAOSw9sdoCKDb/s-l500.webp,128 GB,Very Good,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro 256GB Unlocked Good Condition - Black,$546.00,2025-10-16,https://www.ebay.com/itm/286881436086,https://i.ebayimg.com/images/g/ChsAAeSwD6dog-tb/s-l500.webp,256 GB,Good,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro 128GB (Unlocked) US E-Sim Version. Very Good,$597.99,2025-10-16,https://www.ebay.com/itm/156178473321,https://i.ebayimg.com/images/g/b8QAAOSwsndl2OuI/s-l500.webp,128 GB,Very Good,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro UNLOCKED / 128GB / 256GB  / ALL Colors / E-sim / Very Good,$569.00,2025-10-15,https://www.ebay.com/itm/157391287749,https://i.ebayimg.com/images/g/oesAAOSwmTBnz2l3/s-l500.webp,128 GB,Very Good,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro Unlocked 256GB  - (Natural Titanium) w/Warranty,$653.05,2025-10-15,https://www.ebay.com/itm/376207284364,https://i.ebayimg.com/images/g/B2sAAOSwoEJoD~k6/s-l500.webp,256 GB,Unknown,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro - 512GB - Natural Titanium (Unlocked) - Good Condition,$689.99,2025-04-06,https://www.ebay.com/itm/305910413847,https://i.ebayimg.com/images/g/XB0AAOSwQ8tnLfji/s-l500.webp,512 GB,Good,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro A2848 Unlocked 256GB Blue Titanium Very Good,$649.99,2025-10-14,https://www.ebay.com/itm/196517139876,https://i.ebayimg.com/images/g/ymUAAOSw3glmnt9y/s-l500.webp,256 GB,Very Good,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro 512GB Unlocked Very Good Condition - All Colors,$669.99,2025-10-14,https://www.ebay.com/itm/285598242726,https://i.ebayimg.com/images/g/fNgAAOSwb7Blc1Ko/s-l500.webp,512 GB,Very Good,False,iPhone 15 Pro,True
1,Apple iPhone 15 Pro UNLOCKED / 128GB / 256GB  / ALL Colors / E-sim / Excellent,$599.00,2025-10-14,https://www.ebay.com/itm/156783352436,https://i.ebayimg.com/images/g/oesAAOSwmTBnz2l3/s-l500.webp,128 GB,Excellent,False,iPhone 15 Pro,True
