Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,iPhone_16_Pro_Max
1,Apple iPhone 16 Pro Max 512GB Unlocked AT&T T-Mobile Verizon Very Good Condition,$927.95,2025-10-21,https://www.ebay.com/itm/296936730469,https://i.ebayimg.com/images/g/-QgAAOSw7UdngVs1/s-l500.webp,512 GB,Very Good,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max 1TB Unlocked AT&T T-Mobile Verizon Very Good Condition,$988.95,2025-10-21,https://www.ebay.com/itm/306053212652,https://i.ebayimg.com/images/g/10cAAOSw7eZnjmfz/s-l500.webp,Unknown,Very Good,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max 512GB Unlocked Very Good Condition,"$1,062.99",2025-10-20,https://www.ebay.com/itm/357558441418,https://i.ebayimg.com/images/g/YAMAAeSwmBRo4-Ju/s-l500.webp,512 GB,Very Good,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max - Unlocked - White Titanium - 256GB - Very Good,$885.00,2025-10-20,https://www.ebay.com/itm/276887167735,https://i.ebayimg.com/images/g/7XYAAOSwPXNnLmrs/s-l500.webp,256 GB,Very Good,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max 512GB Unlocked AT&T T-Mobile Verizon Excellent Condition,$998.95,2025-10-20,https://www.ebay.com/itm/306025930253,https://i.ebayimg.com/images/g/ipYAAOSwn4RnfYKS/s-l500.webp,512 GB,Excellent,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max 512GB Unlocked Excellent Condition - All Colors,"$1,029.99",2025-10-20,https://www.ebay.com/itm/276767095671,https://i.ebayimg.com/images/g/ZmwAAOSwYxhnUJVJ/s-l500.webp,512 GB,Excellent,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max 1TB Desert Titanium (Unlocked / A3084) AC+ Theft & Loss,"$1,151.10",2025-10-19,https://www.ebay.com/itm/146884075209,https://i.ebayimg.com/images/g/ZXUAAeSwCPpo58hZ/s-l500.webp,Unknown,Unknown,False,iPhone 16 Pro Max,True
1,"Apple iPhone 16 Pro Max, 1TB, Black Titanium - Unlocked - Excellent","$1,100.00",2025-10-18,https://www.ebay.com/itm/406253377347,https://i.ebayimg.com/images/g/fqgAAeSwAzto3AmB/s-l500.webp,Unknown,Excellent,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max 512GB Unlocked eSim Natural Titanium A3084 Very Good,$914.99,2025-10-17,https://www.ebay.com/itm/146879585756,https://i.ebayimg.com/images/g/5SQAAeSw02Fo3Np~/s-l500.webp,512 GB,Very Good,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max 512GB Black Titanium - Unlocked,$889.99,2025-10-17,https://www.ebay.com/itm/127394395361,https://i.ebayimg.com/images/g/jYwAAeSwMlNo1YT4/s-l500.webp,512 GB,Unknown,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max A3084 Unlocked 256GB Desert Titanium - Very Good,"$1,199.00",2025-10-17,https://www.ebay.com/itm/226786195534,https://i.ebayimg.com/images/g/i1YAAeSw6lZo78sL/s-l500.webp,256 GB,Very Good,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max 512GB Natural Titanium (Unlocked / A3084) MYWA3LL/A,$949.05,2025-10-16,https://www.ebay.com/itm/146899930572,https://i.ebayimg.com/images/g/AMMAAeSwj9No8RLj/s-l500.webp,512 GB,Unknown,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max 512GB Unlocked Good Condition - All Colors,$879.99,2025-10-16,https://www.ebay.com/itm/296960486978,https://i.ebayimg.com/images/g/q24AAOSwuRlnkrQZ/s-l500.webp,512 GB,Good,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max 256GB/512GB/1TB Unlocked- Refurbished Excellent,$939.99,2025-10-16,https://www.ebay.com/itm/326721812323,https://i.ebayimg.com/images/g/bAIAAOSwY9NnXCd~/s-l500.webp,256 GB,Excellent,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max 256GB Factory Unlocked ATT TMobile Verizon - Excellent,$929.48,2025-10-16,https://www.ebay.com/itm/127383806023,https://i.ebayimg.com/images/g/wGAAAeSwRkRoztgO/s-l500.webp,256 GB,Excellent,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max - Unlocked - Desert Titanium - 256GB - Very Good,$885.00,2025-10-16,https://www.ebay.com/itm/276727163150,https://i.ebayimg.com/images/g/3jAAAOSwc3JnMoJb/s-l500.webp,256 GB,Very Good,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max 256GB Unlocked Excellent Condition,$948.00,2025-10-16,https://www.ebay.com/itm/226983043363,https://i.ebayimg.com/images/g/jXcAAeSwbLBowzpC/s-l500.webp,256 GB,Excellent,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max - Unlocked - Black Titanium - 512GB - Very Good,$959.00,2025-10-15,https://www.ebay.com/itm/276842296206,https://i.ebayimg.com/images/g/UaAAAOSw3rhm-t85/s-l500.webp,512 GB,Very Good,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max - Unlocked - Desert Titanium - 256GB - Excellent,$905.00,2025-10-15,https://www.ebay.com/itm/286308021512,https://i.ebayimg.com/images/g/3jAAAOSwc3JnMoJb/s-l500.webp,256 GB,Excellent,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max A3084 Unlocked 512GB Black Titanium - Good,$899.00,2025-10-14,https://www.ebay.com/itm/227002848750,https://i.ebayimg.com/images/g/nVQAAeSwV-xo7r7C/s-l500.webp,512 GB,Good,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max A3084 512GB Unlocked Excellent Condition,$991.99,2025-10-14,https://www.ebay.com/itm/357482182735,https://i.ebayimg.com/images/g/xWEAAeSw5RVowxBU/s-l500.webp,512 GB,Excellent,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max 256GB Unlocked Very Good Condition - All Colors,$879.99,2025-10-13,https://www.ebay.com/itm/296858720243,https://i.ebayimg.com/images/g/zhYAAOSwM7pnUJUF/s-l500.webp,256 GB,Very Good,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max - Unlocked - Black Titanium - 1TB - Excellent,"$1,159.00",2025-10-13,https://www.ebay.com/itm/286308008159,https://i.ebayimg.com/images/g/UaAAAOSw3rhm-t85/s-l500.webp,Unknown,Excellent,False,iPhone 16 Pro Max,True
