Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,Galaxy_S23
1,Excellent Samsung Galaxy S23 128GB Cream Verizon Locked Android Smartphone,$234.89,2025-10-29,https://www.ebay.com/itm/187631441629,https://i.ebayimg.com/images/g/tKoAAeSwDdRoeQA5/s-l500.webp,128 GB,Excellent,False,Galaxy S23,True
1,Samsung Galaxy S23 128GB S911U Unlocked - Excellent,$232.99,2025-10-29,https://www.ebay.com/itm/256372271129,https://i.ebayimg.com/images/g/AXAAAeSwl3loL2cC/s-l500.webp,128 GB,Excellent,False,Galaxy S23,True
1,Samsung Galaxy S23 FE 128GB S711U Unlocked - Excellent,$214.99,2025-10-29,https://www.ebay.com/itm/256484189056,https://i.ebayimg.com/images/g/lwMAAeSwejloL8Ec/s-l500.webp,128 GB,Excellent,False,Galaxy S23,True
1,Samsung Galaxy S23+ PLUS SM-S916U1  512GB 5G Black (Unlocked) #L566,$309.00,2025-10-28,https://www.ebay.com/itm/116826156812,https://i.ebayimg.com/images/g/mCcAAeSwBDxo7Tvp/s-l500.webp,512 GB,Unknown,False,Galaxy S23,True
1,Samsung Galaxy S23 SM-S911U1 5G  128GB Lavender (Unlocked) #L703,$219.00,2025-10-29,https://www.ebay.com/itm/127446681069,https://i.ebayimg.com/images/g/VrMAAeSwaLpo-P16/s-l500.webp,128 GB,Unknown,False,Galaxy S23,True
1,Samsung Galaxy S23 5G 128/256GB  Unlocked -Refurbished Excellent,$259.99,2025-10-29,https://www.ebay.com/itm/326722087811,https://i.ebayimg.com/images/g/0tsAAOSwAPhl81iZ/s-l500.webp,256 GB,Excellent,False,Galaxy S23,True
1,Samsung Galaxy S23+ 256GB S916U Unlocked - Very Good,$279.99,2025-10-29,https://www.ebay.com/itm/256372558345,https://i.ebayimg.com/images/g/rTsAAeSw1tRoL7qR/s-l500.webp,256 GB,Very Good,False,Galaxy S23,True
1,Samsung Galaxy S23 FE SM-S711U Unlocked 128GB Purple Good,$211.69,2025-10-28,https://www.ebay.com/itm/186586705108,https://i.ebayimg.com/images/g/HbkAAOSwXSxmoALh/s-l500.webp,128 GB,Good,False,Galaxy S23,True
1,Samsung Galaxy S23 FE SM-S711U1 Unlocked 128GB Mint Good,$211.69,2025-10-28,https://www.ebay.com/itm/186588798675,https://i.ebayimg.com/images/g/LyUAAOSw4f9moRX-/s-l500.webp,128 GB,Good,False,Galaxy S23,True
1,Samsung Galaxy S23 FE SM-S711U Unlocked 128GB Mint Good,$211.69,2025-10-28,https://www.ebay.com/itm/196518719504,https://i.ebayimg.com/images/g/cUQAAOSw5olmoAAG/s-l500.webp,128 GB,Good,False,Galaxy S23,True
1,Samsung Galaxy S23+ 256GB S916U Unlocked - Excellent,$298.99,2025-10-28,https://www.ebay.com/itm/256372558291,https://i.ebayimg.com/images/g/yeQAAeSwzdJoL09Q/s-l500.webp,256 GB,Excellent,False,Galaxy S23,True
1,Samsung Galaxy S23+ Plus 5G S916U S916 Unlocked (Any Carrier) Good,$289.99,2025-10-28,https://www.ebay.com/itm/197679969500,https://i.ebayimg.com/images/g/g58AAOSwXIhktBc4/s-l500.webp,Unknown,Good,False,Galaxy S23,True
1,Samsung Galaxy S23 128GB S911U Unlocked - Good,$205.99,2025-10-28,https://www.ebay.com/itm/256372465052,https://i.ebayimg.com/images/g/kvwAAeSwDeVoL2FO/s-l500.webp,128 GB,Good,False,Galaxy S23,True
1,"Samsung Galaxy S23+ Plus 5G, 256 /512GB Unlocked - Refurbished Excellent",$324.99,2025-10-28,https://www.ebay.com/itm/236252872554,https://i.ebayimg.com/images/g/F~cAAOSwJo5nyyqG/s-l500.webp,512 GB,Excellent,False,Galaxy S23,True
1,Samsung Galaxy S23 128GB S911U Unlocked - Very Good,$223.99,2025-10-28,https://www.ebay.com/itm/256372450471,https://i.ebayimg.com/images/g/7eYAAeSwaNZoMI-3/s-l500.webp,128 GB,Very Good,False,Galaxy S23,True
1,Samsung Galaxy S23 S911U1 128GB 256GB Unlocked Excellent,$262.99,2025-10-28,https://www.ebay.com/itm/186372160670,https://i.ebayimg.com/images/g/d7sAAOSwgbJl-K0v/s-l500.webp,128 GB,Excellent,False,Galaxy S23,True
1,Samsung Galaxy S23+ Plus 256GB S916U1 5G Factory Unlocked - Very Good,$279.99,2025-10-28,https://www.ebay.com/itm/275946943064,https://i.ebayimg.com/images/g/8b0AAOSwRBdkrxr3/s-l500.webp,256 GB,Very Good,False,Galaxy S23,True
1,Samsung Galaxy S23+ 256GB S916U Unlocked - Good,$251.99,2025-10-28,https://www.ebay.com/itm/256372558330,https://i.ebayimg.com/images/g/uVkAAeSwBgRoL8gl/s-l500.webp,256 GB,Good,False,Galaxy S23,True
1,Samsung Galaxy S23 (5G) SM-S911U 128GB GSM/CDMA FACTORY UNLOCKED Good,$219.88,2025-10-28,https://www.ebay.com/itm/297432023647,https://i.ebayimg.com/images/g/30MAAOSwUP9oWbQK/s-l500.webp,128 GB,Good,False,Galaxy S23,True
1,Samsung Galaxy S23+ Plus 256GB Unlocked ATT T-Mobile Verizon Good Condition,$260.95,2025-10-28,https://www.ebay.com/itm/306266020770,https://i.ebayimg.com/images/g/8aYAAOSwLZRoCT4c/s-l500.webp,256 GB,Good,False,Galaxy S23,True
1,Samsung Galaxy S23+ Plus 256GB Unlocked ATT T-Mobile Verizon Very Good Condition,$284.95,2025-10-28,https://www.ebay.com/itm/306212965101,https://i.ebayimg.com/images/g/u7cAAOSwYlhn6-h7/s-l500.webp,256 GB,Very Good,False,Galaxy S23,True
1,Samsung Galaxy S23 SM-S911U 128GB Unlocked Excellent Condition,$263.30,2025-10-28,https://www.ebay.com/itm/357295111467,https://i.ebayimg.com/images/g/D48AAeSwp3lowxpk/s-l500.webp,128 GB,Excellent,False,Galaxy S23,True
1,Samsung Galaxy S23 128GB FACTORY UNLOCKED Verizon ATT TMobile Metro - EXCELLENT,$239.48,2025-10-28,https://www.ebay.com/itm/126995399789,https://i.ebayimg.com/images/g/7LUAAOSwNZRn1dRa/s-l500.webp,128 GB,Excellent,False,Galaxy S23,True
1,REFURBISHED Samsung Galaxy S23+ PLUS SM-S916U1  512GB 5G Black FACTORY UNLOCKED,$319.00,2025-10-28,https://www.ebay.com/itm/145852334334,https://i.ebayimg.com/images/g/d10AAOSwipJmTVi4/s-l500.webp,512 GB,Unknown,False,Galaxy S23,True
1,Samsung Galaxy S23 256GB FACTORY UNLOCKED Verizon ATT TMobile Metro - EXCELLENT,$308.48,2025-10-28,https://www.ebay.com/itm/136325419316,https://i.ebayimg.com/images/g/7LUAAOSwNZRn1dRa/s-l500.webp,256 GB,Excellent,False,Galaxy S23,True
1,Samsung Galaxy S23 FE SM-S711U1 Unlocked 256GB Graphite Good,$211.69,2025-10-28,https://www.ebay.com/itm/197694944714,https://i.ebayimg.com/images/g/8jEAAeSwDwVoxbK5/s-l500.webp,256 GB,Good,False,Galaxy S23,True
1,Samsung Galaxy S23 FE 128GB S711U1 5G Factory Unlocked - Good,$189.99,2025-10-28,https://www.ebay.com/itm/285806237658,https://i.ebayimg.com/images/g/Hy8AAOSwcaNlur1A/s-l500.webp,128 GB,Good,False,Galaxy S23,True
1,Samsung Galaxy S23 FE 128GB Graphite Unlocked Very Good Condition,$199.99,2025-10-28,https://www.ebay.com/itm/286202205592,https://i.ebayimg.com/images/g/IAYAAOSwIElmtkKR/s-l500.webp,128 GB,Very Good,False,Galaxy S23,True
1,Samsung Galaxy S23 S911 5G Factory Unlocked - Very Good,$219.99,2025-10-28,https://www.ebay.com/itm/275946955493,https://i.ebayimg.com/images/g/yzwAAOSwt1JkryFX/s-l500.webp,Unknown,Very Good,False,Galaxy S23,True
1,Samsung Galaxy S23 SM-S911U1 256GB 5G Black FACTORY UNLOCKED,$299.00,2025-10-28,https://www.ebay.com/itm/126963833938,https://i.ebayimg.com/images/g/tRAAAOSwZP5mT34T/s-l500.webp,256 GB,Unknown,False,Galaxy S23,True
1,Samsung Galaxy S23+ PLUS SM-S916U1 5G Black Cream Green UNLOCKED 5G,$299.00,2025-10-28,https://www.ebay.com/itm/116041499122,https://i.ebayimg.com/images/g/JjwAAOSwosJlpwOo/s-l500.webp,Unknown,Unknown,False,Galaxy S23,True
1,Samsung Galaxy S23+ PLUS SM-S916U1 256GB 5G Lavender (Unlocked) #L413,$259.00,2025-10-28,https://www.ebay.com/itm/127400305841,https://i.ebayimg.com/images/g/SlsAAeSwZBJo2WfU/s-l500.webp,256 GB,Unknown,False,Galaxy S23,True
1,"Samsung Galaxy S23 5G 128GB FACTORY UNLOCKED  6.1"" Smartphone - VERY GOOD",$238.00,2025-10-28,https://www.ebay.com/itm/236036781287,https://i.ebayimg.com/images/g/wIIAAOSw60NnYaNt/s-l500.webp,128 GB,Very Good,False,Galaxy S23,True
1,Samsung Galaxy S23+ 512GB S916U Unlocked - Very Good,$326.99,2025-10-27,https://www.ebay.com/itm/256484246285,https://i.ebayimg.com/images/g/YqYAAeSwSt5oPGVJ/s-l500.webp,512 GB,Very Good,False,Galaxy S23,True
1,Samsung Galaxy S23 FE - 128 GB 5G Purple SM-S711U1 (Unlocked) #L702,$209.00,2025-10-27,https://www.ebay.com/itm/116840163111,https://i.ebayimg.com/images/g/VcYAAeSwaLpo-P1S/s-l500.webp,128 GB,Unknown,False,Galaxy S23,True
1,Samsung Galaxy S23 S911 5G Factory Unlocked - Excellent,$239.99,2025-10-27,https://www.ebay.com/itm/285378740455,https://i.ebayimg.com/images/g/yzwAAOSwt1JkryFX/s-l500.webp,Unknown,Excellent,False,Galaxy S23,True
1,Samsung Galaxy S23 (5G) SM-S911U 128GB GSM/CDMA FACTORY UNLOCKED Very Good,$224.88,2025-10-27,https://www.ebay.com/itm/297432020395,https://i.ebayimg.com/images/g/30MAAOSwUP9oWbQK/s-l500.webp,128 GB,Very Good,False,Galaxy S23,True
1,Samsung Galaxy S23+ 512GB S916U Unlocked - Excellent,$354.99,2025-10-27,https://www.ebay.com/itm/256484246252,https://i.ebayimg.com/images/g/78AAAeSw3S1oL3A6/s-l500.webp,512 GB,Excellent,False,Galaxy S23,True
1,Samsung Galaxy S23 S911 5G Factory Unlocked - Good,$199.99,2025-10-27,https://www.ebay.com/itm/277247211131,https://i.ebayimg.com/images/g/yzwAAOSwt1JkryFX/s-l500.webp,Unknown,Good,False,Galaxy S23,True
1,Samsung Galaxy S23+ PLUS 256GB Factory Unlocked Verizon ATT TMobile - EXCELLENT,$309.48,2025-10-27,https://www.ebay.com/itm/127077515331,https://i.ebayimg.com/images/g/7LUAAOSwNZRn1dRa/s-l500.webp,256 GB,Excellent,False,Galaxy S23,True
1,Samsung Galaxy S23 FE SM-S711U Unlocked 128GB Graphite Good,$216.40,2025-10-27,https://www.ebay.com/itm/176486371738,https://i.ebayimg.com/images/g/hLIAAOSwonVmn~7S/s-l500.webp,128 GB,Good,False,Galaxy S23,True
1,"Samsung Galaxy  S23 FE  5G  128GB 6.4"" Smartphone - VERY GOOD",$194.00,2025-10-27,https://www.ebay.com/itm/235965678091,https://i.ebayimg.com/images/g/TlUAAOSwYCRntRCD/s-l500.webp,128 GB,Very Good,False,Galaxy S23,True
1,Samsung Galaxy S23 FE 5G S711U S711 Unlocked (Any Carrier) 128GB Very Good,$204.99,2025-10-27,https://www.ebay.com/itm/235700125597,https://i.ebayimg.com/images/g/yb8AAOSwWT1meNNF/s-l500.webp,128 GB,Very Good,False,Galaxy S23,True
1,Samsung Galaxy S23+ (5G) SM-S916U 256GB GSM/CDMA FACTORY UNLOCKED Very Good,$274.88,2025-10-27,https://www.ebay.com/itm/365689547804,https://i.ebayimg.com/images/g/bkoAAOSwPQJoWa8r/s-l500.webp,256 GB,Very Good,False,Galaxy S23,True
1,Samsung Galaxy S23 SM-S911U 128GB Unlocked Very Good Condition,$249.91,2025-10-27,https://www.ebay.com/itm/357600879787,https://i.ebayimg.com/images/g/2NgAAeSw3SZowxYS/s-l500.webp,128 GB,Very Good,False,Galaxy S23,True
1,Samsung Galaxy S23+ PLUS 5G SM-S916U1  256GB  Green (Unlocked) #L565,$269.00,2025-10-26,https://www.ebay.com/itm/146893624809,https://i.ebayimg.com/images/g/RzQAAeSw~9Zo7TH1/s-l500.webp,256 GB,Unknown,False,Galaxy S23,True
1,"Samsung Galaxy  S23 FE  5G  128GB 6.4"" Smartphone - EXCELLENT",$204.00,2025-10-26,https://www.ebay.com/itm/235965647508,https://i.ebayimg.com/images/g/TlUAAOSwYCRntRCD/s-l500.webp,128 GB,Excellent,False,Galaxy S23,True
1,REFURBISHED Samsung Galaxy S23 SM-S911U1 256GB 5G Black FACTORY UNLOCKED,$269.00,2025-10-26,https://www.ebay.com/itm/116686626530,https://i.ebayimg.com/images/g/tRAAAOSwZP5mT34T/s-l500.webp,256 GB,Unknown,False,Galaxy S23,True
1,Samsung Galaxy S23+ PLUS 5G SM-S916U1  256GB  Green (Unlocked) #L563,$269.00,2025-10-26,https://www.ebay.com/itm/127429728955,https://i.ebayimg.com/images/g/ECkAAeSwR4Fo7TIk/s-l500.webp,256 GB,Unknown,False,Galaxy S23,True
1,"Samsung Galaxy S23 S911U1 128GB, 256GB Unlocked Very Good",$224.99,2025-10-26,https://www.ebay.com/itm/186419721963,https://i.ebayimg.com/images/g/d7sAAOSwgbJl-K0v/s-l500.webp,128 GB,Very Good,False,Galaxy S23,True
1,SAMSUNG GALAXY S23 256GB ALL COLORS FACTORY UNLOCKED VERY GOOD CONDITION,$364.99,2025-04-14,https://www.ebay.com/itm/187082199969,https://i.ebayimg.com/images/g/F9sAAOSwx2Fn5HUk/s-l500.webp,256 GB,Very Good,False,Galaxy S23,True
1,Samsung Galaxy S23 Lavender 128 Excellent - Refurbished  - Unlocked,$261.99,2025-10-26,https://www.ebay.com/itm/127388404804,https://i.ebayimg.com/images/g/EykAAeSwCqBo~2Zx/s-l500.webp,Unknown,Excellent,False,Galaxy S23,True
1,Samsung Galaxy S23 256GB 📱Phantom Black - Network Unlocked ✨ - Good,$254.99,2025-10-26,https://www.ebay.com/itm/205800898509,https://i.ebayimg.com/images/g/yPwAAOSw4HFnkTDN/s-l500.webp,256 GB,Good,False,Galaxy S23,True
1,Samsung Galaxy S23 FE 128GB S711U Unlocked - Very Good,$205.99,2025-10-26,https://www.ebay.com/itm/256484189078,https://i.ebayimg.com/images/g/he4AAeSwUGVoMKcx/s-l500.webp,128 GB,Very Good,False,Galaxy S23,True
1,Samsung Galaxy S23 S911 128GB Unlocked - Very Good,$233.95,2025-10-26,https://www.ebay.com/itm/405911450654,https://i.ebayimg.com/images/g/Z5gAAOSwQ99mlsDq/s-l500.webp,128 GB,Very Good,False,Galaxy S23,True
1,Samsung Galaxy S23 Fully Unlocked 128GB - 6.1in - Good,$214.00,2025-10-26,https://www.ebay.com/itm/146756353108,https://i.ebayimg.com/images/g/jowAAeSw7aVoyFNi/s-l500.webp,128 GB,Good,False,Galaxy S23,True
1,Samsung Galaxy S23+ SM-S916U Unlocked 256GB Phantom Black Good,$273.99,2025-10-26,https://www.ebay.com/itm/186587360387,https://i.ebayimg.com/images/g/F0MAAOSwQJVmoGQM/s-l500.webp,256 GB,Good,False,Galaxy S23,True
