Model,Count,Mean_Price,Median_Price,Std_Dev,Min_Price,Max_Price
Pixel_6,24,151.32541666666665,149.495,19.546963509137072,123.99,195.49
Pixel_7,68,187.07794117647063,179.99,22.105558533681986,151.95,269.95
Pixel_8,13,291.7599999999999,294.99,22.741300168049612,254.99,324.99
Pixel_9,56,478.9367857142857,459.99,56.789931857589075,379.0,612.99
