Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,Pixel_7
1,Google Pixel 7 GQML3 Unlocked 128GB Lemongrass Good,$151.95,2025-10-17,https://www.ebay.com/itm/176487991936,https://i.ebayimg.com/images/g/0FsAAOSwGdRmoTZq/s-l500.webp,128 GB,Good,False,Pixel 7,True
1,"Google Pixel 7, 128GB for Verizon, Obsidian",$179.99,2025-10-17,https://www.ebay.com/itm/157194443773,https://i.ebayimg.com/images/g/ji0AAeSwHzxo8BuV/s-l500.webp,128 GB,Unknown,False,Pixel 7,True
1,Google Pixel 7 | 7a | 7 Pro - 128GB 256GB 512GB - Unlocked Verizon T-Mobile AT&T,$179.95,2025-10-17,https://www.ebay.com/itm/277020587194,https://i.ebayimg.com/images/g/haoAAOSw605mkYOL/s-l500.webp,128 GB,Unknown,False,Pixel 7,True
1,Google Pixel 7 128GB - VARIOUS COLOR - UNLOCKED - Grade B+ CONDITION !!,$178.64,2025-10-15,https://www.ebay.com/itm/315902247541,https://i.ebayimg.com/images/g/GoUAAOSwfM5nIV2~/s-l500.webp,128 GB,Unknown,False,Pixel 7,True
1,Google Pixel 7 128GB Unlocked GA03923-US 6.3” AMOLED WiFi NFC 5G Obsidian Black,$179.99,2025-10-14,https://www.ebay.com/itm/326808304979,https://i.ebayimg.com/images/g/6t4AAOSwcvdjwF-x/s-l500.webp,128 GB,Unknown,False,Pixel 7,True
1,Google Pixel 7 - 128GB Obsidian Unlocked | Excellent,$174.00,2025-10-14,https://www.ebay.com/itm/115725874606,https://i.ebayimg.com/images/g/l4IAAeSw80NoryBg/s-l500.webp,128 GB,Excellent,False,Pixel 7,True
1,"Google Pixel 7 128GB Unlocked GA03943-US 6.3"" 50MP WiFi NFC 5G LTE Lemongrass",$179.99,2025-10-13,https://www.ebay.com/itm/205771976979,https://i.ebayimg.com/images/g/4o0AAOSwETxj0sth/s-l500.webp,128 GB,Unknown,False,Pixel 7,True
1,Google Pixel 7 CARRIER UNLOCKED & OEM UNLOCKED -128GB/256GB🔒EXCELLENT CONDITION,$229.99,2025-10-13,https://www.ebay.com/itm/127340186197,https://i.ebayimg.com/images/g/WxQAAOSw4X9oLzZ7/s-l500.webp,128 GB,Unknown,False,Pixel 7,True
1,Google Pixel 7 - Unlocked - Very Good Condition (1Year Warranty),$199.53,2025-10-12,https://www.ebay.com/itm/167848737332,https://i.ebayimg.com/images/g/wncAAOSwcBRoCNAN/s-l500.webp,Unknown,Very Good,False,Pixel 7,True
1,Google Pixel 7 - 256GB - Black Obsidian - Factory Unlocked - Very Good + More,$194.99,2025-10-12,https://www.ebay.com/itm/326810202876,https://i.ebayimg.com/images/g/PSYAAOSwRWBnYaxw/s-l500.webp,256 GB,Very Good,False,Pixel 7,True
1,Google Pixel 7 128GB Unlocked GA03923-US 6.3” AMOLED WiFi NFC 5G Obsidian Black,$164.99,2025-10-12,https://www.ebay.com/itm/197701907162,https://i.ebayimg.com/images/g/6t4AAOSwcvdjwF-x/s-l500.webp,128 GB,Unknown,False,Pixel 7,True
1,Google Pixel 7 5G 128GB - Lemongrass Obsidian Snow - Unlocked - Excellent,$206.99,2025-03-16,https://www.ebay.com/itm/196389712854,https://i.ebayimg.com/images/g/ZWMAAOSw3aplRIOH/s-l500.webp,128 GB,Excellent,False,Pixel 7,True
1,Google Pixel 7 Unlocked 128gb/256gb All Colors/Memory 🔒EXCELLENT CONDITION💯,$199.98,2025-10-10,https://www.ebay.com/itm/127128423144,https://i.ebayimg.com/images/g/WxQAAOSw4X9oLzZ7/s-l500.webp,128 GB,Unknown,False,Pixel 7,True
1,Google Pixel 7 256GB Unlocked GA04528-US 6.3” AMOLED WiFi NFC 5G Obsidian Black,$209.99,2025-07-04,https://www.ebay.com/itm/196999078401,https://i.ebayimg.com/images/g/6t4AAOSwcvdjwF-x/s-l500.webp,256 GB,Unknown,False,Pixel 7,True
1,Google Pixel 7 GVU6C Unlocked 128GB Obsidian Good,$169.99,2025-10-08,https://www.ebay.com/itm/196518512304,https://i.ebayimg.com/images/g/pWMAAOSw4Slmn9XY/s-l500.webp,128 GB,Good,False,Pixel 7,True
1,Google Pixel 7 6.3-inch OLED display with 90Hz refresh rate,$269.95,2025-10-08,https://www.ebay.com/itm/305967107850,https://i.ebayimg.com/images/g/DwQAAOSw-cdngVwr/s-l500.webp,Unknown,Unknown,False,Pixel 7,True
1,"Google Pixel 7 128GB Unlocked GA03943-US 6.3"" 50MP WiFi NFC 5G LTE Lemongrass",$184.99,2025-09-04,https://www.ebay.com/itm/196729296643,https://i.ebayimg.com/images/g/4o0AAOSwETxj0sth/s-l500.webp,128 GB,Unknown,False,Pixel 7,True
1,Google Pixel 7 128GB Unlocked GA03923-US 6.3” AMOLED WiFi NFC 5G Obsidian Black,$184.99,2025-09-25,https://www.ebay.com/itm/205046998002,https://i.ebayimg.com/images/g/6t4AAOSwcvdjwF-x/s-l500.webp,128 GB,Unknown,False,Pixel 7,True
1,Google Pixel 7 Dual Sim 128GB 8GB Unlocked Black Good Condition,$176.04,2025-10-06,https://www.ebay.com/itm/406189424873,https://i.ebayimg.com/images/g/lBcAAeSwCZhoqrfM/s-l500.webp,128 GB,Good,False,Pixel 7,True
