Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,Pixel_9
1,"Google Pixel 9 128GB Unlocked 6.3"" 5G Dual SIM Obsidian Black GA05226-US",$459.99,2025-09-21,https://www.ebay.com/itm/205239114075,https://i.ebayimg.com/images/g/GLMAAOSwm6RnI78q/s-l500.webp,128 GB,Unknown,False,Pixel 9,True
1,Google Pixel 9 - Unlocked - Wintergreen - 128GB - Very Good,$442.00,2025-09-25,https://www.ebay.com/itm/277193536058,https://i.ebayimg.com/images/g/YOAAAOSwZ8ZngD2L/s-l500.webp,128 GB,Very Good,False,Pixel 9,True
1,Google Pixel 9 256GB Obsidian Unlocked Excellent Condition,$599.99,2025-09-24,https://www.ebay.com/itm/276980587725,https://i.ebayimg.com/images/g/z8wAAOSwDeVnKi~I/s-l500.webp,256 GB,Excellent,False,Pixel 9,True
1,Google Pixel 9 128GB Green (Unlocked) - Open Box,$567.99,2025-07-21,https://www.ebay.com/itm/167648962501,https://i.ebayimg.com/images/g/Hn4AAeSw4S9odokp/s-l500.webp,128 GB,Unknown,False,Pixel 9,True
1,Google Pixel 9 - Unlocked - Obsidian - 128GB - Good,$429.00,2025-09-24,https://www.ebay.com/itm/277091205289,https://i.ebayimg.com/images/g/XfwAAOSwzctm6f3o/s-l500.webp,128 GB,Good,False,Pixel 9,True
1,Google Pixel 9 Mali-G715 MC7 OLED 12GB RAM Dual camera 50MP,$429.95,2025-09-19,https://www.ebay.com/itm/126840212272,https://i.ebayimg.com/images/g/VYQAAOSwXuVngWBh/s-l500.webp,12 GB,Unknown,False,Pixel 9,True
1,Google Pixel 9 128GB Porcelain Unlocked Excellent Condition,$559.99,2025-09-16,https://www.ebay.com/itm/286555711249,https://i.ebayimg.com/images/g/OCQAAeSwCYtoyrqF/s-l500.webp,128 GB,Excellent,False,Pixel 9,True
1,Google Pixel 9 - Unlocked - Wintergreen - 128GB - Excellent,$459.00,2025-09-15,https://www.ebay.com/itm/276810986540,https://i.ebayimg.com/images/g/YOAAAOSwZ8ZngD2L/s-l500.webp,128 GB,Excellent,False,Pixel 9,True
1,Google Pixel 9 - Unlocked - Wintergreen - 128GB - Good,$429.00,2025-09-15,https://www.ebay.com/itm/286817844758,https://i.ebayimg.com/images/g/YOAAAOSwZ8ZngD2L/s-l500.webp,128 GB,Good,False,Pixel 9,True
1,Google Pixel 9 128GB - Black Obsidian - Network Unlocked - Very Good + More,$459.99,2025-09-03,https://www.ebay.com/itm/205696989438,https://i.ebayimg.com/images/g/QZYAAOSwtY5n~WWf/s-l500.webp,128 GB,Very Good,False,Pixel 9,True
