Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,Pixel_6
1,Google Pixel 6 | 6a | 6 Pro - 128GB | 256GB Unlocked AT&T Metro T-Mobile Verizon,$144.95,2025-10-22,https://www.ebay.com/itm/256511425369,https://i.ebayimg.com/images/g/zYcAAOSwhtFmR58S/s-l500.webp,128 GB,Unknown,False,Pixel 6,True
1,Google Pixel 6 | 6a | 6 Pro - 128GB 256GB 512GB - Unlocked Verizon AT&T T-Mobile,$154.95,2025-10-22,https://www.ebay.com/itm/276523158965,https://i.ebayimg.com/images/g/PGQAAOSwS1dmebZR/s-l500.webp,128 GB,Unknown,False,Pixel 6,True
1,Google Pixel 6 | 6a | 6 Pro - 128GB 256GB 512GB - Unlocked Verizon T-Mobile AT&T,$139.95,2025-10-22,https://www.ebay.com/itm/276523158982,https://i.ebayimg.com/images/g/~rUAAOSwkf5mebZY/s-l500.webp,128 GB,Unknown,False,Pixel 6,True
1,Google Pixel 6 - 6 Pro - 128/256 GB - Unlocked/T-Mobile/AT&T/Verizon - Excellent,$154.99,2025-10-22,https://www.ebay.com/itm/175221332529,https://i.ebayimg.com/images/g/2-sAAOSwl1diRJt1/s-l500.webp,256 GB,Excellent,False,Pixel 6,True
1,Google Pixel 6 5G UW 256GB G9S9B Verizon/Unlocked Smartphone - Excellent,$195.49,2025-07-23,https://www.ebay.com/itm/267327711422,https://i.ebayimg.com/images/g/9FQAAOSwxOBicD9v/s-l500.webp,256 GB,Excellent,False,Pixel 6,True
1,Google Pixel 6 | 6a | 6 Pro - Unlocked Privacy Phone - De-Googled w/ GrapheneOS,$194.95,2025-10-21,https://www.ebay.com/itm/267371915358,https://i.ebayimg.com/images/g/USsAAeSwXDhoo1gU/s-l500.webp,Unknown,Unknown,False,Pixel 6,True
1,Google Pixel 6 | 6a | 6 Pro - 128GB | 25GB - Unlocked  T-Mobile AT&T - Excellent,$169.95,2025-10-18,https://www.ebay.com/itm/256515016747,https://i.ebayimg.com/images/g/zYcAAOSwhtFmR58S/s-l500.webp,128 GB,Excellent,False,Pixel 6,True
1,Google Pixel 6 128GB GB7N6 CDMA/GSM Unlocked Smartphone -Excellent,$161.49,2025-10-18,https://www.ebay.com/itm/267187173848,https://i.ebayimg.com/images/g/9FQAAOSwxOBicD9v/s-l500.webp,128 GB,Excellent,False,Pixel 6,True
1,"Unlocked Google Pixel 6 GA02910-US 6.4"" 128GB 50MP WiFi NFC GPS 5G Sorta Seafoam",$129.99,2025-10-17,https://www.ebay.com/itm/197701916743,https://i.ebayimg.com/images/g/eO4AAOSwck9hyhrR/s-l500.webp,128 GB,Unknown,False,Pixel 6,True
1,Google Pixel 6 5G GB7N6 Unlocked AT&T T-Mobile 128GB 512GB Very Good Refurbished,$135.99,2025-10-17,https://www.ebay.com/itm/186382972121,https://i.ebayimg.com/images/g/9UwAAOSwRVBizcuX/s-l500.webp,128 GB,Very Good,False,Pixel 6,True
1,Google Pixel 6 / 6 Pro - 128GB - Unlocked All Carriers - All Colors - PRISTINE,$179.99,2025-10-17,https://www.ebay.com/itm/175273118672,https://i.ebayimg.com/images/g/2-sAAOSwl1diRJt1/s-l500.webp,128 GB,Unknown,False,Pixel 6,True
1,Google Pixel 6 5G GB7N6 Unlocked AT&T T-Mobile 128GB 512GB Good Refurbished,$126.99,2025-10-16,https://www.ebay.com/itm/204733253931,https://i.ebayimg.com/images/g/9UwAAOSwRVBizcuX/s-l500.webp,128 GB,Good,False,Pixel 6,True
1,Google Pixel 6 5G UW 128GB G9S9B Verizon/Unlocked Smartphone -Good,$153.60,2025-10-16,https://www.ebay.com/itm/257056803345,https://i.ebayimg.com/images/g/9FQAAOSwxOBicD9v/s-l500.webp,128 GB,Good,False,Pixel 6,True
