Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,iPhone_13
1,Apple iPhone 13 A2482 (Fully Unlocked) 128GB Black (Excellent),$282.99,2025-10-22,https://www.ebay.com/itm/286883432473,https://i.ebayimg.com/images/g/hD0AAeSwtplo8saV/s-l140.webp,128 GB,Excellent,False,iPhone 13,True
1,Apple iPhone 13 Midnight 128GB Good - Refurbished  - Unlocked,$289.99,2025-10-22,https://www.ebay.com/itm/127404799625,https://i.ebayimg.com/images/g/q7QAAeSwWyNo9bqv/s-l140.webp,128 GB,Good,False,iPhone 13,True
1,Apple iPhone 13 Starlight 128GB Good - Refurbished  - Unlocked,$289.99,2025-10-22,https://www.ebay.com/itm/127404800565,https://i.ebayimg.com/images/g/j2gAAeSwymlo-XaI/s-l140.webp,128 GB,Good,False,iPhone 13,True
1,Apple iPhone 13 128GB Unlocked 90%+ Battery (Midnight) A2482 w/1 Year Warranty,$289.00,2025-10-22,https://www.ebay.com/itm/146760804084,https://i.ebayimg.com/images/g/M7AAAeSwh6Foljxv/s-l140.webp,128 GB,Unknown,False,iPhone 13,True
1,Apple iPhone 13 512GB Factory Unlocked AT&T T-Mobile Verizon Good Condition,$326.95,2025-10-22,https://www.ebay.com/itm/295317456494,https://i.ebayimg.com/images/g/h-oAAOSwu99lDb~o/s-l140.webp,512 GB,Good,False,iPhone 13,True
1,Apple iPhone 13 128GB Unlocked - Excellent,$290.95,2025-10-22,https://www.ebay.com/itm/404240045218,https://i.ebayimg.com/images/g/~z8AAOSwVZxkNGTt/s-l140.webp,128 GB,Excellent,False,iPhone 13,True
1,Apple iPhone 13 A2482 128GB Network Unlocked Very Good Condition,$301.44,2025-10-22,https://www.ebay.com/itm/354393355064,https://i.ebayimg.com/images/g/DDcAAOSwEjhjcrCI/s-l140.webp,128 GB,Very Good,False,iPhone 13,True
1,Apple iPhone 13 Green 128GB Good - Refurbished  - Unlocked,$289.99,2025-10-22,https://www.ebay.com/itm/127404800161,https://i.ebayimg.com/images/g/U3sAAeSw0a9o-Yfq/s-l140.webp,128 GB,Good,False,iPhone 13,True
1,Apple iPhone 13 128GB 6.1in  Fully Unlocked  - Good,$274.00,2025-10-22,https://www.ebay.com/itm/134353979702,https://i.ebayimg.com/images/g/TEcAAeSwg2Vopjxh/s-l140.webp,128 GB,Good,False,iPhone 13,True
1,Apple iPhone 13 128GB Factory Unlocked AT&T T-Mobile Verizon Excellent Condition,$298.95,2025-10-22,https://www.ebay.com/itm/304568689089,https://i.ebayimg.com/images/g/YYMAAOSwTgNlDb4Y/s-l140.webp,128 GB,Excellent,False,iPhone 13,True
1,APPLE iPhone 13 A2482 128GB Unlocked Blue iOS 17 -Very Good,$269.99,2025-10-22,https://www.ebay.com/itm/389108024322,https://i.ebayimg.com/images/g/u-4AAeSwPF9o8oYC/s-l140.webp,128 GB,Very Good,False,iPhone 13,True
1,"Apple iPhone 13, 128/256/512GB - Unlocked - Refurbished Excellent",$314.99,2025-10-22,https://www.ebay.com/itm/326721918490,https://i.ebayimg.com/images/g/sMQAAOSwcSFkCfCZ/s-l140.webp,512 GB,Excellent,False,iPhone 13,True
1,Apple iPhone 13 128GB Unlocked - Very Good,$276.95,2025-10-22,https://www.ebay.com/itm/404240048516,https://i.ebayimg.com/images/g/L38AAOSwjZ5kNFYd/s-l140.webp,128 GB,Very Good,False,iPhone 13,True
1,Apple iPhone 13 A2482 (Fully Unlocked) 128GB Black (Very Good),$273.99,2025-10-22,https://www.ebay.com/itm/286883394862,https://i.ebayimg.com/images/g/y3IAAeSwOito8sFK/s-l140.webp,128 GB,Very Good,False,iPhone 13,True
1,Apple iPhone 13 - 128 GB - Midnight Black - Unlocked - 100% BATTERY,$325.00,2025-10-22,https://www.ebay.com/itm/267404334530,https://i.ebayimg.com/images/g/O1AAAeSwyHFoyFLF/s-l140.webp,128 GB,Unknown,False,iPhone 13,True
1,Apple iPhone 13 256GB Unlocked - Excellent,$312.95,2025-10-22,https://www.ebay.com/itm/386511533624,https://i.ebayimg.com/images/g/~z8AAOSwVZxkNGTt/s-l140.webp,256 GB,Excellent,False,iPhone 13,True
1,Apple iPhone 13 A2482 128GB - Fully Unlocked- Black & Blue - Very Good Condition,$280.00,2025-10-22,https://www.ebay.com/itm/127083143769,https://i.ebayimg.com/images/g/HnIAAOSwKz9nFp4Z/s-l140.webp,128 GB,Very Good,False,iPhone 13,True
1,Apple iPhone 13 - 128 GB - Midnight Black - Unlocked - 90%+ Battery Very Good,$299.00,2025-10-22,https://www.ebay.com/itm/335899514268,https://i.ebayimg.com/images/g/fSoAAOSwbUJntw14/s-l140.webp,128 GB,Very Good,False,iPhone 13,True
1,Apple iPhone 13 - 128GB 256GB 512GB - All Colors - Good Condition,$264.00,2025-10-22,https://www.ebay.com/itm/284798167339,https://i.ebayimg.com/images/g/rqsAAOSwLwZiar2B/s-l140.webp,128 GB,Good,False,iPhone 13,True
1,Apple iPhone 13 - 128GB 256GB 512GB - All Colors - Very Good Condition,$299.00,2025-10-22,https://www.ebay.com/itm/275298470570,https://i.ebayimg.com/images/g/rqsAAOSwLwZiar2B/s-l140.webp,128 GB,Very Good,False,iPhone 13,True
