Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,Galaxy_S25Plus
1,Samsung Galaxy S25 Plus 256GB Unlocked Navy SM-S936U1 Cell Phone Excellent,$569.95,2025-10-28,https://www.ebay.com/itm/146605832851,https://i.ebayimg.com/images/g/8M8AAOSw6-1oM7-W/s-l500.webp,256 GB,Excellent,False,Galaxy S25+,True
1,Samsung Galaxy S25 Plus 256GB Silver Shadow Unlocked Very Good Condition,$569.99,2025-10-28,https://www.ebay.com/itm/277315048428,https://i.ebayimg.com/images/g/SF8AAeSwwatoycr9/s-l500.webp,256 GB,Very Good,False,Galaxy S25+,True
1,Samsung Galaxy S25 Plus 256GB Unlocked Silver Shadow SM-S936U Excellent,$619.95,2025-10-25,https://www.ebay.com/itm/406300907642,https://i.ebayimg.com/images/g/d58AAeSwCupo86Ua/s-l500.webp,256 GB,Excellent,False,Galaxy S25+,True
1,Samsung Galaxy S25 Plus 256GB Unlocked Mint  SM-S936U1 Excellent,$594.99,2025-10-25,https://www.ebay.com/itm/127418022083,https://i.ebayimg.com/images/g/ubEAAeSw8hNo5WVv/s-l500.webp,256 GB,Excellent,False,Galaxy S25+,True
1,Samsung Galaxy S25 Plus 256GB Navy Unlocked Excellent Condition,$574.99,2025-10-22,https://www.ebay.com/itm/286699406118,https://i.ebayimg.com/images/g/jFwAAeSwvKpn5Ch8/s-l500.webp,256 GB,Excellent,False,Galaxy S25+,True
1,Samsung Galaxy S25 Plus - Unlocked - Icy Blue - 256GB - Excellent,$585.00,2025-10-21,https://www.ebay.com/itm/277093754332,https://i.ebayimg.com/images/g/BcwAAOSwaR9oG6px/s-l500.webp,256 GB,Excellent,False,Galaxy S25+,True
1,Samsung Galaxy S25 Plus SM-S936U - 256GB - Silver (Unlocked) - Very Good,$559.99,2025-10-21,https://www.ebay.com/itm/306557688295,https://i.ebayimg.com/images/g/yAUAAeSwwiVobqmR/s-l500.webp,256 GB,Very Good,False,Galaxy S25+,True
1,"Samsung Galaxy S25 Plus 5G (256GB, 12GB) 6.7"" Factory Unlocked US Model S936U1",$587.99,2025-09-03,https://www.ebay.com/itm/146782259799,https://i.ebayimg.com/images/g/FlUAAeSwSkhopPiN/s-l500.webp,256 GB,Unknown,False,Galaxy S25+,True
1,Samsung Galaxy S25 Plus Fully Unlocked All Colors 256GB - 6.7in - Excellent,$590.00,2025-10-13,https://www.ebay.com/itm/146729929314,https://i.ebayimg.com/images/g/aj0AAeSwUW1o5mO7/s-l500.webp,256 GB,Excellent,False,Galaxy S25+,True
1,"Samsung Galaxy S25 Plus 5G (256GB, 12GB) 6.7"" Factory Unlocked US Model S936U1",$619.99,2025-10-07,https://www.ebay.com/itm/146525805179,https://i.ebayimg.com/images/g/3oEAAeSwjDVoAVEn/s-l500.webp,256 GB,Unknown,False,Galaxy S25+,True
1,Samsung Galaxy S25 Plus 256GB Navy Unlocked Very Good Condition,$559.99,2025-10-06,https://www.ebay.com/itm/297583486275,https://i.ebayimg.com/images/g/C0AAAeSw0Kto-Rd-/s-l500.webp,256 GB,Very Good,False,Galaxy S25+,True
1,Samsung Galaxy S25 Plus - Unlocked - Blue Black - 512GB - Excellent,$669.00,2025-10-06,https://www.ebay.com/itm/277054254803,https://i.ebayimg.com/images/g/E5AAAOSwUJBoBoYN/s-l500.webp,512 GB,Excellent,False,Galaxy S25+,True
1,Samsung Galaxy S25 Plus - Unlocked - Silver Shadow - 256GB - Excellent,$585.00,2025-10-04,https://www.ebay.com/itm/286601812420,https://i.ebayimg.com/images/g/JlYAAOSws21nz1FU/s-l500.webp,256 GB,Excellent,False,Galaxy S25+,True
1,"Samsung Galaxy S25 Plus 5G (512GB, 12GB) 6.7"" Factory Unlocked US Model S936U1",$783.99,2025-07-05,https://www.ebay.com/itm/156962637756,https://i.ebayimg.com/images/g/UXYAAeSwgOZoGlgy/s-l500.webp,512 GB,Unknown,False,Galaxy S25+,True
1,Samsung Galaxy S25 Plus 256GB Icy Blue Unlocked Excellent Condition,$589.99,2025-09-26,https://www.ebay.com/itm/297158611339,https://i.ebayimg.com/images/g/MlUAAeSwu9xo8ajX/s-l500.webp,256 GB,Excellent,False,Galaxy S25+,True
1,Samsung Galaxy S25 Plus - Unlocked - Silver Shadow - 512GB - Excellent,$669.00,2025-09-24,https://www.ebay.com/itm/286722427526,https://i.ebayimg.com/images/g/JlYAAOSws21nz1FU/s-l500.webp,512 GB,Excellent,False,Galaxy S25+,True
1,Samsung Galaxy S25 Plus - Unlocked - Navy - 256GB - Excellent,$585.00,2025-09-22,https://www.ebay.com/itm/276987157394,https://i.ebayimg.com/images/g/0UMAAOSwh6Fn3Imq/s-l500.webp,256 GB,Excellent,False,Galaxy S25+,True
1,Samsung Galaxy S25 Plus 256GB Icy Blue Unlocked Very Good Condition,$579.99,2025-09-22,https://www.ebay.com/itm/277222460055,https://i.ebayimg.com/images/g/PcAAAeSwhk9o8alY/s-l500.webp,256 GB,Very Good,False,Galaxy S25+,True
1,Samsung Galaxy S25 Plus 256GB Silver Shadow Unlocked Good Condition,$559.99,2025-09-19,https://www.ebay.com/itm/277359323157,https://i.ebayimg.com/images/g/SOsAAeSwYrBo8akR/s-l500.webp,256 GB,Good,False,Galaxy S25+,True
1,Samsung Galaxy S25 Plus - Unlocked - Coralred - 512GB - Very Good,$645.00,2025-09-17,https://www.ebay.com/itm/286730402557,https://i.ebayimg.com/images/g/4H0AAeSwqhNoXsZq/s-l500.webp,512 GB,Very Good,False,Galaxy S25+,True
1,Samsung Galaxy S25 Plus - Unlocked - Mint - 256GB - Very Good,$559.00,2025-09-16,https://www.ebay.com/itm/277377660438,https://i.ebayimg.com/images/g/5I8AAOSwLWBn-AR1/s-l500.webp,256 GB,Very Good,False,Galaxy S25+,True
1,Samsung Galaxy S25 Plus 256GB Silver Shadow Unlocked Excellent Condition,$629.99,2025-09-14,https://www.ebay.com/itm/276936240120,https://i.ebayimg.com/images/g/BgAAAeSwmZ1nzx8L/s-l500.webp,256 GB,Excellent,False,Galaxy S25+,True
1,Samsung Galaxy S25 Plus - Unlocked - Navy - 512GB - Excellent,$669.00,2025-09-12,https://www.ebay.com/itm/277074119474,https://i.ebayimg.com/images/g/0UMAAOSwh6Fn3Imq/s-l500.webp,512 GB,Excellent,False,Galaxy S25+,True
1,Samsung Galaxy S25 Plus 512GB Mint Unlocked Very Good Condition,$699.99,2025-09-09,https://www.ebay.com/itm/297599377256,https://i.ebayimg.com/images/g/qMAAAeSwKQRo8akZ/s-l500.webp,512 GB,Very Good,False,Galaxy S25+,True
1,Samsung Galaxy S25 Plus 512GB Mint Unlocked Excellent Condition,$699.99,2025-09-01,https://www.ebay.com/itm/277352303757,https://i.ebayimg.com/images/g/Pz8AAeSwXXho58fr/s-l500.webp,512 GB,Excellent,False,Galaxy S25+,True
1,Samsung Galaxy S25 Plus - Unlocked - Navy - 256GB - Very Good,$559.00,2025-08-27,https://www.ebay.com/itm/276964673538,https://i.ebayimg.com/images/g/0UMAAOSwh6Fn3Imq/s-l500.webp,256 GB,Very Good,False,Galaxy S25+,True
1,Samsung Galaxy S25 Plus - Unlocked - Coralred - 512GB - Excellent,$669.00,2025-08-22,https://www.ebay.com/itm/277237529722,https://i.ebayimg.com/images/g/4H0AAeSwqhNoXsZq/s-l500.webp,512 GB,Excellent,False,Galaxy S25+,True
1,Samsung Galaxy S25 Plus - Unlocked - Blue Black - 256GB - Good,$529.00,2025-08-20,https://www.ebay.com/itm/286722426269,https://i.ebayimg.com/images/g/lPUAAOSwjFln9~42/s-l500.webp,256 GB,Good,False,Galaxy S25+,True
1,Samsung Galaxy S25 Plus 512GB Blueblack Unlocked Excellent Condition,$749.99,2025-08-14,https://www.ebay.com/itm/297291089647,https://i.ebayimg.com/images/g/sPEAAeSwEyxoycL4/s-l500.webp,512 GB,Excellent,False,Galaxy S25+,True
1,Samsung Galaxy S25 Plus - Unlocked - Navy - 256GB - Good,$529.00,2025-08-11,https://www.ebay.com/itm/286681759208,https://i.ebayimg.com/images/g/0UMAAOSwh6Fn3Imq/s-l500.webp,256 GB,Good,False,Galaxy S25+,True
