Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,Galaxy_S23Plus
1,Samsung Galaxy S23 Plus 256GB Green Unlocked Good Condition,$259.99,2025-10-28,https://www.ebay.com/itm/286695846588,https://i.ebayimg.com/images/g/ugsAAeSwILNn2ch2/s-l500.webp,256 GB,Good,False,Galaxy S23+,True
1,Samsung Galaxy S23 Plus 512GB Phantom Black Unlocked Good Condition,$299.99,2025-10-28,https://www.ebay.com/itm/277327561592,https://i.ebayimg.com/images/g/4FYAAeSwlnxo5Ar4/s-l500.webp,512 GB,Good,False,Galaxy S23+,True
1,Samsung Galaxy S23 Plus SM-S916U 256GB Unlocked Very Good Condition,$305.18,2025-10-28,https://www.ebay.com/itm/357290692843,https://i.ebayimg.com/images/g/vckAAeSwRbtowxRL/s-l500.webp,256 GB,Very Good,False,Galaxy S23+,True
1,Samsung Galaxy S23 Plus S916 256GB Unlocked - Excellent,$309.95,2025-10-27,https://www.ebay.com/itm/387231092932,https://i.ebayimg.com/images/g/Zd8AAOSwT-hmn9ex/s-l500.webp,256 GB,Excellent,False,Galaxy S23+,True
1,Samsung Galaxy S23 Plus SM-S916U 512GB Unlocked Very Good Condition,$378.45,2025-10-26,https://www.ebay.com/itm/357295042204,https://i.ebayimg.com/images/g/1cYAAeSwrX1owxPD/s-l500.webp,512 GB,Very Good,False,Galaxy S23+,True
1,Samsung Galaxy S23 Plus Sm-s916u Fully Unlocked 256GB - Excellent,$409.00,2025-10-25,https://www.ebay.com/itm/135357114976,https://i.ebayimg.com/images/g/9awAAeSwXZlo7PRq/s-l500.webp,256 GB,Excellent,False,Galaxy S23+,True
1,Samsung Galaxy S23 Plus SM-S916U - 256GB - Lavender (Unlocked) - Good Condition,$301.08,2025-10-20,https://www.ebay.com/itm/306529958261,https://i.ebayimg.com/images/g/FVAAAeSwv0lo2kH3/s-l500.webp,256 GB,Good,False,Galaxy S23+,True
1,Samsung Galaxy S23 Plus - 512GB - Unlocked - Green - Good,$295.00,2025-10-17,https://www.ebay.com/itm/286819771526,https://i.ebayimg.com/images/g/64UAAeSwqwpoxn37/s-l500.webp,512 GB,Good,False,Galaxy S23+,True
1,Samsung Galaxy S23 Plus 256GB Phantom Black Unlocked Very Good Condition,$319.99,2025-10-17,https://www.ebay.com/itm/297130783108,https://i.ebayimg.com/images/g/0jcAAeSwLaRn2y41/s-l500.webp,256 GB,Very Good,False,Galaxy S23+,True
1,Samsung Galaxy S23 Plus SM-S916U 256GB Unlocked Excellent Condition,$366.38,2025-10-17,https://www.ebay.com/itm/357290610300,https://i.ebayimg.com/images/g/BMEAAeSwFd9owxgl/s-l500.webp,256 GB,Excellent,False,Galaxy S23+,True
