Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,Galaxy_S22Plus
1,Samsung Galaxy S22 Plus S906 128GB Unlocked - Very Good,$178.95,2025-10-29,https://www.ebay.com/itm/365357929085,https://i.ebayimg.com/images/g/mZcAAOSwUh1n4XZb/s-l500.webp,128 GB,Very Good,False,Galaxy S22+,True
1,Samsung Galaxy S22 Plus S906 128GB Unlocked - Excellent,$192.95,2025-10-28,https://www.ebay.com/itm/364894602299,https://i.ebayimg.com/images/g/8sMAAOSw3Thn4Xa5/s-l500.webp,128 GB,Excellent,False,Galaxy S22+,True
1,Samsung Galaxy S22 Plus S906 256GB Unlocked - Excellent,$215.95,2025-10-28,https://www.ebay.com/itm/405287989392,https://i.ebayimg.com/images/g/~7sAAOSwRvBjTwKZ/s-l500.webp,256 GB,Excellent,False,Galaxy S22+,True
1,Samsung Galaxy S22 Plus 5G 128GB Pink Gold Unlocked Good Condition,$159.99,2025-10-28,https://www.ebay.com/itm/297574788581,https://i.ebayimg.com/images/g/kRkAAeSwrApo1YjR/s-l500.webp,128 GB,Good,False,Galaxy S22+,True
1,Samsung Galaxy S22 Plus SM-S906U - 256GB Black (Unlocked) - Very Good Condition,$271.59,2025-04-29,https://www.ebay.com/itm/306205427764,https://i.ebayimg.com/images/g/OyYAAOSw6OlmKNRy/s-l500.webp,256 GB,Very Good,False,Galaxy S22+,True
1,Samsung Galaxy S22 Plus S906 256GB Unlocked - Very Good,$206.95,2025-10-25,https://www.ebay.com/itm/406090786662,https://i.ebayimg.com/images/g/~7sAAOSwRvBjTwKZ/s-l500.webp,256 GB,Very Good,False,Galaxy S22+,True
1,Samsung Galaxy S22 Plus SM-S906U - 128GB - Phantom Black (Unlocked) - Good Cond.,$188.92,2025-10-17,https://www.ebay.com/itm/306483376194,https://i.ebayimg.com/images/g/XNcAAeSwNiZotWjS/s-l500.webp,128 GB,Good,False,Galaxy S22+,True
1,Samsung Galaxy S22 Plus - 128GB 256GB - All Colors - Good Condition,$159.00,2025-10-07,https://www.ebay.com/itm/285843081958,https://i.ebayimg.com/images/g/PeIAAOSwVSZmNUm1/s-l500.webp,128 GB,Good,False,Galaxy S22+,True
1,Samsung Galaxy S22 Plus 5G 128GB Phantom White Unlocked Good Condition,$179.99,2025-10-07,https://www.ebay.com/itm/286848076415,https://i.ebayimg.com/images/g/1-kAAeSwI11o2rZ8/s-l500.webp,128 GB,Good,False,Galaxy S22+,True
1,Samsung Galaxy S22 Plus 5G 256GB Green Unlocked Very Good Condition,$249.99,2025-09-27,https://www.ebay.com/itm/297312573838,https://i.ebayimg.com/images/g/1WkAAeSwCupo2qHS/s-l500.webp,256 GB,Very Good,False,Galaxy S22+,True
1,Samsung Galaxy S22+Plus - 128GB - Green - Fully Unlocked 5G (Good),$169.99,2025-09-26,https://www.ebay.com/itm/267374395646,https://i.ebayimg.com/images/g/VNIAAOSwSItoOOK7/s-l500.webp,128 GB,Good,False,Galaxy S22+,True
1,Samsung Galaxy S22 Plus SM-S906U - 128GB - Black (Unlocked) - Very Good Cond.,$199.99,2025-09-24,https://www.ebay.com/itm/306515122693,https://i.ebayimg.com/images/g/-C0AAeSwbtFoyuC-/s-l500.webp,128 GB,Very Good,False,Galaxy S22+,True
