Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,Galaxy_S22,Galaxy_S23,Galaxy_S24,Galaxy_S25,year,Month,Price_num,Galaxy_S22Plus,Galaxy_S23Plus,Galaxy_S24Plus,Galaxy_S25Plus,Galaxy_S22_Ultra,Galaxy_S23_Ultra,Galaxy_S24_Ultra,Galaxy_S25_Ultra
1,Samsung Galaxy S22 128GB FACTORY Unlocked Verizon ATT  TMobile Metro - EXCELLENT,$169.48,2025-10-27,https://www.ebay.com/itm/115990092373,https://i.ebayimg.com/images/g/xr0AAOSwFZVlvsfM/s-l500.webp,128 GB,Excellent,False,Galaxy S22,True,,,,2025.0,10.0,169.48,,,,,,,,
1,Samsung Galaxy S22 Purple 128GB Very Good - Refurbished  - Unlocked,$161.99,2025-10-27,https://www.ebay.com/itm/127257209493,https://i.ebayimg.com/images/g/7WcAAeSw9L5o~vZI/s-l500.webp,128 GB,Very Good,False,Galaxy S22,True,,,,2025.0,10.0,161.99,,,,,,,,
1,Samsung Galaxy S22 Black 128GB Good - Refurbished  - Unlocked,$152.99,2025-10-27,https://www.ebay.com/itm/127244140586,https://i.ebayimg.com/images/g/MK8AAeSwiCFpAPQp/s-l500.webp,128 GB,Good,False,Galaxy S22,True,,,,2025.0,10.0,152.99,,,,,,,,
1,Samsung Galaxy S22 S901 256GB Unlocked - Very Good,$185.95,2025-10-27,https://www.ebay.com/itm/365846334124,https://i.ebayimg.com/images/g/IzAAAOSwNXFlFYby/s-l500.webp,256 GB,Very Good,False,Galaxy S22,True,,,,2025.0,10.0,185.95,,,,,,,,
1,Samsung Galaxy S22 White 256GB Very Good - Refurbished  - Unlocked,$185.99,2025-10-27,https://www.ebay.com/itm/127435037236,https://i.ebayimg.com/images/g/DpMAAeSwuvlo~~no/s-l500.webp,256 GB,Very Good,False,Galaxy S22,True,,,,2025.0,10.0,185.99,,,,,,,,
1,Samsung Galaxy S22 Green 256GB Very Good - Refurbished  - Unlocked,$185.99,2025-10-27,https://www.ebay.com/itm/127442053043,https://i.ebayimg.com/images/g/MloAAeSwAR1o~-cb/s-l500.webp,256 GB,Very Good,False,Galaxy S22,True,,,,2025.0,10.0,185.99,,,,,,,,
1,Samsung Galaxy S22 SM-S901U Phantom Black 128GB Unlocked - Excellent,$277.67,2025-07-29,https://www.ebay.com/itm/176760756253,https://i.ebayimg.com/images/g/mEQAAOSwcHxnbvFx/s-l500.webp,128 GB,Excellent,False,Galaxy S22,True,,,,2025.0,7.0,277.67,,,,,,,,
1,Samsung Galaxy S22 256GB FACTORY Unlocked Verizon ATT TMobile Metro EXCELLENT,$229.48,2025-10-27,https://www.ebay.com/itm/126583047383,https://i.ebayimg.com/images/g/xr0AAOSwFZVlvsfM/s-l500.webp,256 GB,Excellent,False,Galaxy S22,True,,,,2025.0,10.0,229.48,,,,,,,,
1,Samsung Galaxy S22 5G 128-256GB Fully Unlocked - Refurbished Excellent,$189.99,2025-10-26,https://www.ebay.com/itm/226908834874,https://i.ebayimg.com/images/g/ImQAAOSwje1kGbSU/s-l500.webp,256 GB,Excellent,False,Galaxy S22,True,,,,2025.0,10.0,189.99,,,,,,,,
1,Samsung Galaxy S22 5G SM-S901U1 128GB Unlocked Phone S901U Excellent Refurbished,$178.99,2025-10-26,https://www.ebay.com/itm/354471201026,https://i.ebayimg.com/images/g/9eoAAOSwBFJjPcD9/s-l500.webp,128 GB,Excellent,False,Galaxy S22,True,,,,2025.0,10.0,178.99,,,,,,,,
1,Samsung Galaxy S22 256GB S901U Unlocked - Excellent,$195.99,2025-10-26,https://www.ebay.com/itm/255819195815,https://i.ebayimg.com/images/g/Ku0AAeSwxhNojEHP/s-l500.webp,256 GB,Excellent,False,Galaxy S22,True,,,,2025.0,10.0,195.99,,,,,,,,
1,Samsung Galaxy S22 128GB Phantom Black- Unlocked - Excellent Refurbished,$152.74,2025-10-26,https://www.ebay.com/itm/226847062070,https://i.ebayimg.com/images/g/M~8AAeSwiE9oZqFC/s-l500.webp,128 GB,Excellent,False,Galaxy S22,True,,,,2025.0,10.0,152.74,,,,,,,,
1,Samsung Galaxy S22 5G SM-S901U - 128GB - Green (Unlocked) - Good Condition,$155.19,2025-10-25,https://www.ebay.com/itm/306552940910,https://i.ebayimg.com/images/g/3-8AAeSwNXFo55N1/s-l500.webp,128 GB,Good,False,Galaxy S22,True,,,,2025.0,10.0,155.19,,,,,,,,
1,Samsung Galaxy S22 5G SM-S901U - 128GB - Black (Unlocked) - Good Condition,$155.19,2025-10-25,https://www.ebay.com/itm/306552940287,https://i.ebayimg.com/images/g/N8EAAeSwEQho55KI/s-l500.webp,128 GB,Good,False,Galaxy S22,True,,,,2025.0,10.0,155.19,,,,,,,,
1,Samsung Galaxy S22 5G SM-S901U1F 128GB 256GB Factory Unlocked Excellent,$178.99,2025-10-25,https://www.ebay.com/itm/204721986791,https://i.ebayimg.com/images/g/9eoAAOSwBFJjPcD9/s-l500.webp,128 GB,Excellent,False,Galaxy S22,True,,,,2025.0,10.0,178.99,,,,,,,,
1,Samsung Galaxy S22 Purple 128GB Good - Refurbished  - Unlocked,$152.99,2025-10-25,https://www.ebay.com/itm/127239280933,https://i.ebayimg.com/images/g/pDsAAeSw77No~-IN/s-l500.webp,128 GB,Good,False,Galaxy S22,True,,,,2025.0,10.0,152.99,,,,,,,,
1,Samsung Galaxy S22 5G SM-S901U1 128GB 256GB Unlocked Good,$149.99,2025-10-25,https://www.ebay.com/itm/186378192943,https://i.ebayimg.com/images/g/mCkAAOSwV3lnOXZg/s-l500.webp,128 GB,Good,False,Galaxy S22,True,,,,2025.0,10.0,149.99,,,,,,,,
1,Samsung Galaxy S22 Black 256GB Very Good - Refurbished  - Unlocked,$185.99,2025-10-25,https://www.ebay.com/itm/127443001776,https://i.ebayimg.com/images/g/SUsAAeSwVLdo~TQK/s-l500.webp,256 GB,Very Good,False,Galaxy S22,True,,,,2025.0,10.0,185.99,,,,,,,,
1,Samsung Galaxy S22 - 128GB - Bora Purple - Fully Unlocked 5G - Good,$159.99,2025-10-24,https://www.ebay.com/itm/257044455653,https://i.ebayimg.com/images/g/DO4AAeSw1Cloi9K1/s-l500.webp,128 GB,Good,False,Galaxy S22,True,,,,2025.0,10.0,159.99,,,,,,,,
1,Samsung Galaxy S22 Sm-s901u 5g Fully Unlocked 6.1in 128GB - Very Good,$219.00,2025-10-24,https://www.ebay.com/itm/145802924694,https://i.ebayimg.com/images/g/-c0AAeSwo1Bo5odR/s-l500.webp,128 GB,Very Good,False,Galaxy S22,True,,,,2025.0,10.0,219.0,,,,,,,,
1,Samsung Galaxy S22 (5G)  128GB Black *UNLOCKED* [SM-S901U] Excellent Refurbished,$167.99,2025-10-24,https://www.ebay.com/itm/145576662437,https://i.ebayimg.com/images/g/cBkAAOSwAY5kZnAE/s-l500.webp,128 GB,Excellent,False,Galaxy S22,True,,,,2025.0,10.0,167.99,,,,,,,,
1,Samsung Galaxy S22 SM-S901U 5G - 128GB Unlocked Smartphone - Very Good Condition,$157.99,2025-10-24,https://www.ebay.com/itm/314214264884,https://i.ebayimg.com/images/g/lGcAAOSwbgxjYuVQ/s-l500.webp,128 GB,Very Good,False,Galaxy S22,True,,,,2025.0,10.0,157.99,,,,,,,,
1,Samsung Galaxy S22 White 128GB Very Good - Refurbished  - Unlocked,$161.99,2025-10-24,https://www.ebay.com/itm/127257209813,https://i.ebayimg.com/images/g/O9EAAeSwLSdo~Mfn/s-l500.webp,128 GB,Very Good,False,Galaxy S22,True,,,,2025.0,10.0,161.99,,,,,,,,
1,Samsung Galaxy S22 (5G) 128GB Black *UNLOCKED* [SM-S901U] Very Good Refurbished,$155.99,2025-10-24,https://www.ebay.com/itm/146051641403,https://i.ebayimg.com/images/g/gMoAAOSwfrpmw5M~/s-l500.webp,128 GB,Very Good,False,Galaxy S22,True,,,,2025.0,10.0,155.99,,,,,,,,
