Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,Pixel_6,Pixel_7,Pixel_8,Pixel_9,Pixel_10,Galaxy_S22,Galaxy_S23,Galaxy_S24,Galaxy_S25,year,Month,Price_num,Galaxy_S22_Ultra,Galaxy_S23_Ultra,Galaxy_S24_Ultra,Galaxy_S25_Ultra,iPhone_12_Pro_Max,iPhone_13_Pro_Max,iPhone_14_Pro_Max,iPhone_15_Pro_Max,iPhone_16_Pro_Max,iPhone_17_Pro_Max,iPhone_12,iPhone_13,iPhone_14,iPhone_15,iPhone_16,iPhone_12_Pro,iPhone_13_Pro,iPhone_14_Pro,iPhone_15_Pro,iPhone_16_Pro,iPhone_17_Pro,Galaxy_S22Plus,Galaxy_S23Plus,Galaxy_S24Plus,Galaxy_S25Plus,Pixel_6_Pro,Pixel_7_Pro,Pixel_8_Pro,Pixel_9_Pro,Pixel_9_Pro_XL,Pixel_10_Pro,Pixel_10_Pro_XL
1,Google Pixel 6 - 256 GB - Gray (Unlocked) Smartphone - Very Good,$174.95,2025-09-21,https://www.ebay.com/itm/186841150555,https://i.ebayimg.com/images/g/A4oAAOSwluZnwJN0/s-l500.webp,256 GB,Very Good,False,Pixel 6,True,,,,,,,,,2025,September,174.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Google Pixel 6 256GB Unlocked 6.4"" 50MP NFC GPS 5G LTE Stormy Black",$149.99,2025-09-19,https://www.ebay.com/itm/197701917720,https://i.ebayimg.com/images/g/5~0AAOSwIchhy1Rk/s-l500.webp,256 GB,Unknown,False,Pixel 6,True,,,,,,,,,2025,September,149.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Google Pixel 6 5G - 256GB Stormy Black *UNLOCKED* [G9S9B] Good Refurbished,$149.99,2025-09-17,https://www.ebay.com/itm/146549896713,https://i.ebayimg.com/images/g/RSAAAOSwhx5oD9kG/s-l500.webp,256 GB,Good,False,Pixel 6,True,,,,,,,,,2025,September,149.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Unlocked Google Pixel 6 GA02910-US 6.4"" 128GB 50MP WiFi NFC GPS 5G Sorta Seafoam",$134.99,2025-09-01,https://www.ebay.com/itm/196216499705,https://i.ebayimg.com/images/g/eO4AAOSwck9hyhrR/s-l500.webp,128 GB,Unknown,False,Pixel 6,True,,,,,,,,,2025,September,134.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Google Pixel 6 128GB Unlocked GA02900-US 6.4"" 50MP NFC GPS 5G LTE Stormy Black",$129.99,2025-09-13,https://www.ebay.com/itm/196987753147,https://i.ebayimg.com/images/g/5~0AAOSwIchhy1Rk/s-l500.webp,128 GB,Unknown,False,Pixel 6,True,,,,,,,,,2025,September,129.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Google Pixel 6 Fully Unlocked - 128GB - 6.4in - Very Good,$142.00,2025-09-15,https://www.ebay.com/itm/145735476276,https://i.ebayimg.com/images/g/nnwAAeSwRipoiPb9/s-l500.webp,128 GB,Very Good,False,Pixel 6,True,,,,,,,,,2025,September,142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Google Pixel 6 128GB Unlocked GA02920-US 6.4"" 50MP WiFi NFC GPS 5G Kinda Coral",$134.99,2025-09-05,https://www.ebay.com/itm/326400063030,https://i.ebayimg.com/images/g/EYYAAOSwt5plgLqC/s-l500.webp,128 GB,Unknown,False,Pixel 6,True,,,,,,,,,2025,September,134.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Google Pixel 6 - 128 GB - Gray (Unlocked) Smartphone - Very Good,$154.95,2025-09-01,https://www.ebay.com/itm/186909639318,https://i.ebayimg.com/images/g/iMoAAOSwx7Rnkp4g/s-l500.webp,128 GB,Very Good,False,Pixel 6,True,,,,,,,,,2025,September,154.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Google Pixel 6 - 256GB - Stormy Black (Unlocked) - Good Condition,$169.99,2025-08-18,https://www.ebay.com/itm/306448370749,https://i.ebayimg.com/images/g/yIAAAeSwGIxoivIC/s-l500.webp,256 GB,Good,False,Pixel 6,True,,,,,,,,,2025,August,169.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Google Pixel 6 - 256GB - Sorta Seafoam (Unlocked) - Good Condition,$141.60,2025-08-13,https://www.ebay.com/itm/306368606062,https://i.ebayimg.com/images/g/EFEAAOSwxs5oScFj/s-l500.webp,256 GB,Good,False,Pixel 6,True,,,,,,,,,2025,August,141.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Google Pixel 7 128GB Snow Unlocked Good Condition,$179.99,2025-10-22,https://www.ebay.com/itm/295838294311,https://i.ebayimg.com/images/g/u~gAAOSwPwlnD9lm/s-l500.webp,128 GB,Good,False,Pixel 7,,True,,,,,,,,2025,October,179.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Google Pixel 7 5G 128GB - Lemongrass Obsidian Snow - Unlocked - Very Good,$171.99,2025-10-22,https://www.ebay.com/itm/404594628125,https://i.ebayimg.com/images/g/ZWMAAOSw3aplRIOH/s-l500.webp,128 GB,Very Good,False,Pixel 7,,True,,,,,,,,2025,October,171.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Google Pixel 7 128GB Unlocked GA03943-US 6.3"" 50MP WiFi NFC 5G LTE Lemongrass",$164.99,2025-10-22,https://www.ebay.com/itm/197701910487,https://i.ebayimg.com/images/g/4o0AAOSwETxj0sth/s-l500.webp,128 GB,Unknown,False,Pixel 7,,True,,,,,,,,2025,October,164.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Google Pixel 7 - 128GB - White Snow - Factory Unlocked - Good + More,$154.99,2025-10-21,https://www.ebay.com/itm/197791753781,https://i.ebayimg.com/images/g/IsYAAeSw0B9owFWN/s-l500.webp,128 GB,Good,False,Pixel 7,,True,,,,,,,,2025,October,154.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Google Pixel 7 128GB Unlocked - Very Good,$177.99,2025-10-21,https://www.ebay.com/itm/256165742312,https://i.ebayimg.com/images/g/dDUAAeSwt-dojEjn/s-l500.webp,128 GB,Very Good,False,Pixel 7,,True,,,,,,,,2025,October,177.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Google Pixel 7 GVU6C 128GB 256GB Unlocked Phone Good Refurbished 1 Year Warranty,$168.99,2025-10-21,https://www.ebay.com/itm/355617737236,https://i.ebayimg.com/images/g/gUYAAOSwmbtlZQzY/s-l500.webp,128 GB,Good,False,Pixel 7,,True,,,,,,,,2025,October,168.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Google Pixel 7 GVU6C  128GB 256GB 512GB Unlocked Excellent Phone 1 YR WARRANTY,$215.99,2025-10-20,https://www.ebay.com/itm/186185562226,https://i.ebayimg.com/images/g/gUYAAOSwmbtlZQzY/s-l500.webp,128 GB,Excellent,False,Pixel 7,,True,,,,,,,,2025,October,215.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Google Pixel 7 5G 6.3""  Fully Unlocked (Any Carrier) SmartPhone Very Good",$183.99,2025-10-20,https://www.ebay.com/itm/355210272203,https://i.ebayimg.com/images/g/ZZYAAOSw7ERlCMWK/s-l500.webp,Unknown,Very Good,False,Pixel 7,,True,,,,,,,,2025,October,183.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Google Pixel 7 128GB Unlocked - Good,$163.99,2025-10-20,https://www.ebay.com/itm/256223664002,https://i.ebayimg.com/images/g/YqkAAeSwuKNojEji/s-l500.webp,128 GB,Good,False,Pixel 7,,True,,,,,,,,2025,October,163.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Google Pixel 7 128GB Unlocked - Excellent,$186.99,2025-10-20,https://www.ebay.com/itm/256165742254,https://i.ebayimg.com/images/g/drsAAeSwbZNojFWy/s-l500.webp,128 GB,Excellent,False,Pixel 7,,True,,,,,,,,2025,October,186.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Google Pixel 7 128GB Unlocked GA03933-US 6.3"" FHD 50MP WiFi 5G LTE Snow White",$164.99,2025-10-20,https://www.ebay.com/itm/326775698574,https://i.ebayimg.com/images/g/jl0AAOSwbopj0sto/s-l500.webp,128 GB,Unknown,False,Pixel 7,,True,,,,,,,,2025,October,164.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Google Pixel 7 128GB 5G Unlocked - Excellent,$199.99,2025-10-18,https://www.ebay.com/itm/275617380664,https://i.ebayimg.com/images/g/qKkAAOSwy6BjvwhA/s-l500.webp,128 GB,Excellent,False,Pixel 7,,True,,,,,,,,2025,October,199.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Google Pixel 7 GVU6C 128GB 256GB Unlocked Very Good Refurbished 1 Year Warranty,$178.99,2025-10-18,https://www.ebay.com/itm/355617734563,https://i.ebayimg.com/images/g/gUYAAOSwmbtlZQzY/s-l500.webp,128 GB,Very Good,False,Pixel 7,,True,,,,,,,,2025,October,178.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Google Pixel 7 GQML3 Unlocked 128GB Lemongrass Good,$151.95,2025-10-17,https://www.ebay.com/itm/176487991936,https://i.ebayimg.com/images/g/0FsAAOSwGdRmoTZq/s-l500.webp,128 GB,Good,False,Pixel 7,,True,,,,,,,,2025,October,151.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Google Pixel 7, 128GB for Verizon, Obsidian",$179.99,2025-10-17,https://www.ebay.com/itm/157194443773,https://i.ebayimg.com/images/g/ji0AAeSwHzxo8BuV/s-l500.webp,128 GB,Unknown,False,Pixel 7,,True,,,,,,,,2025,October,179.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
